"Novads","Statuss","DzNor","DzDekl","DzReg","NavSpeka","Kopa"
"AIZKRAUKLES NOVADS","LATVIJAS NEPILSONIS",0,762,0,20,782
"AIZKRAUKLES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"AIZKRAUKLES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"AIZKRAUKLES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"AIZKRAUKLES NOVADS","PĀRĒJIE",0,94,0,3,97
"AIZPUTES NOVADS","LATVIJAS PILSONIS",0,8590,1,85,8676
"AIZPUTES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS NEPILSONIS",0,211,0,6,217
"AIZPUTES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"AIZPUTES NOVADS","PĀRĒJIE",0,32,0,4,36
"AKNĪSTES NOVADS","LATVIJAS PILSONIS",0,2501,1,11,2513
"AKNĪSTES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"AKNĪSTES NOVADS","LATVIJAS NEPILSONIS",0,194,0,1,195
"AKNĪSTES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"AKNĪSTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AKNĪSTES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"AKNĪSTES NOVADS","PĀRĒJIE",0,17,0,0,17
"ALOJAS NOVADS","LATVIJAS PILSONIS",1,4850,0,14,4865
"ALOJAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"ALOJAS NOVADS","LATVIJAS NEPILSONIS",0,172,0,1,173
"ALOJAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"ALOJAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"ALOJAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"ALOJAS NOVADS","PĀRĒJIE",0,10,0,0,10
"ALSUNGAS NOVADS","LATVIJAS PILSONIS",0,1400,4,6,1410
"ALSUNGAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"ALSUNGAS NOVADS","LATVIJAS NEPILSONIS",0,16,1,0,17
"ALSUNGAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"ALSUNGAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"ALSUNGAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"ALSUNGAS NOVADS","PĀRĒJIE",0,3,0,0,3
"ALŪKSNES NOVADS","LATVIJAS PILSONIS",1,15449,8,142,15600
"ALŪKSNES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"ALŪKSNES NOVADS","LATVIJAS NEPILSONIS",0,550,0,18,568
"ALŪKSNES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"ALŪKSNES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"ALŪKSNES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"ALŪKSNES NOVADS","PĀRĒJIE",2,162,0,10,174
"AMATAS NOVADS","LATVIJAS PILSONIS",0,5221,0,24,5245
"AMATAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"AMATAS NOVADS","LATVIJAS NEPILSONIS",0,187,0,2,189
"AMATAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"AMATAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AMATAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"AMATAS NOVADS","PĀRĒJIE",0,87,0,0,87
"APES NOVADS","LATVIJAS PILSONIS",1,3474,2,19,3496
"APES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"APES NOVADS","LATVIJAS NEPILSONIS",0,107,0,0,107
"APES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"APES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"APES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"APES NOVADS","PĀRĒJIE",0,15,0,0,15
"AUCES NOVADS","LATVIJAS PILSONIS",2,6457,0,57,6516
"AUCES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"AUCES NOVADS","LATVIJAS NEPILSONIS",0,602,0,20,622
"AUCES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"AUCES NOVADS","LATVIJAS BEZVALSTNIEKS",0,2,0,0,2
"AUCES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"AUCES NOVADS","PĀRĒJIE",0,46,0,5,51
"ĀDAŽU NOVADS","LATVIJAS PILSONIS",2,10364,0,106,10472
"ĀDAŽU NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"ĀDAŽU NOVADS","LATVIJAS NEPILSONIS",0,744,0,27,771
"ĀDAŽU NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"ĀDAŽU NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"ĀDAŽU NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"ĀDAŽU NOVADS","PĀRĒJIE",1,431,0,8,440
"BABĪTES NOVADS","LATVIJAS PILSONIS",0,9509,0,75,9584
"BABĪTES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"BABĪTES NOVADS","LATVIJAS NEPILSONIS",0,725,0,15,740
"BABĪTES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"BABĪTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BABĪTES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"BABĪTES NOVADS","PĀRĒJIE",4,826,0,5,835
"BALDONES NOVADS","LATVIJAS PILSONIS",1,5336,0,81,5418
"BALDONES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"BALDONES NOVADS","LATVIJAS NEPILSONIS",0,272,0,12,284
"BALDONES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"BALDONES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BALDONES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"BALDONES NOVADS","PĀRĒJIE",0,49,0,1,50
"BALTINAVAS NOVADS","LATVIJAS PILSONIS",0,1078,0,2,1080
"BALTINAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"BALTINAVAS NOVADS","LATVIJAS NEPILSONIS",0,17,0,0,17
"BALTINAVAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"BALTINAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BALTINAVAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"BALTINAVAS NOVADS","PĀRĒJIE",0,8,0,2,10
"BALVU NOVADS","LATVIJAS PILSONIS",0,12567,6,99,12672
"BALVU NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"BALVU NOVADS","LATVIJAS NEPILSONIS",0,370,0,24,394
"BALVU NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"BALVU NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BALVU NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"BALVU NOVADS","PĀRĒJIE",0,77,0,3,80
"BAUSKAS NOVADS","LATVIJAS PILSONIS",1,22200,1,250,22452
"BAUSKAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"BAUSKAS NOVADS","LATVIJAS NEPILSONIS",0,1776,0,57,1833
"BAUSKAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"BAUSKAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"BAUSKAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"BAUSKAS NOVADS","PĀRĒJIE",1,309,0,1,311
"BEVERĪNAS NOVADS","LATVIJAS PILSONIS",0,2997,2,20,3019
"BEVERĪNAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"BEVERĪNAS NOVADS","LATVIJAS NEPILSONIS",0,149,0,1,150
"BEVERĪNAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"BEVERĪNAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BEVERĪNAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"BEVERĪNAS NOVADS","PĀRĒJIE",0,18,0,0,18
"BROCĒNU NOVADS","LATVIJAS PILSONIS",0,5749,0,65,5814
"BROCĒNU NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"BROCĒNU NOVADS","LATVIJAS NEPILSONIS",0,344,0,35,379
"BROCĒNU NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"BROCĒNU NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BROCĒNU NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"BROCĒNU NOVADS","PĀRĒJIE",0,59,0,2,61
"BURTNIEKU NOVADS","LATVIJAS PILSONIS",17,7175,0,71,7263
"BURTNIEKU NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"BURTNIEKU NOVADS","LATVIJAS NEPILSONIS",9,383,0,15,407
"BURTNIEKU NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"BURTNIEKU NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BURTNIEKU NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"BURTNIEKU NOVADS","PĀRĒJIE",1,40,0,0,41
"CARNIKAVAS NOVADS","LATVIJAS PILSONIS",5,7681,0,74,7760
"CARNIKAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"CARNIKAVAS NOVADS","LATVIJAS NEPILSONIS",0,1026,0,21,1047
"CARNIKAVAS NOVADS","LATVIJAS BĒGLIS",1,1,0,0,2
"CARNIKAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"CARNIKAVAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"CARNIKAVAS NOVADS","PĀRĒJIE",0,365,0,33,398
"CESVAINES NOVADS","LATVIJAS PILSONIS",0,2529,7,4,2540
"CESVAINES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"CESVAINES NOVADS","LATVIJAS NEPILSONIS",0,54,0,1,55
"CESVAINES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"CESVAINES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"CESVAINES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"CESVAINES NOVADS","PĀRĒJIE",1,5,0,0,6
"CĒSU NOVADS","LATVIJAS PILSONIS",1,16980,0,342,17323
"CĒSU NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"CĒSU NOVADS","LATVIJAS NEPILSONIS",1,652,0,55,708
"CĒSU NOVADS","LATVIJAS BĒGLIS",0,1,0,0,1
"CĒSU NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"CĒSU NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"CĒSU NOVADS","PĀRĒJIE",2,387,0,2,391
"CIBLAS NOVADS","LATVIJAS PILSONIS",1,2589,0,8,2598
"CIBLAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"CIBLAS NOVADS","LATVIJAS NEPILSONIS",1,123,0,6,130
"CIBLAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"CIBLAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"CIBLAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"CIBLAS NOVADS","PĀRĒJIE",0,37,0,0,37
"DAGDAS NOVADS","LATVIJAS PILSONIS",2,6896,1,39,6938
"DAGDAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"DAGDAS NOVADS","LATVIJAS NEPILSONIS",0,542,1,6,549
