"Novads","Statuss","DzNor","DzDekl","DzReg","NavSpeka","Kopa"
"AIZKRAUKLES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"AIZKRAUKLES NOVADS","PAREJIE",0,94,0,3,97
"AIZPUTES NOVADS","LATVIJAS PILSONIS",0,8590,1,85,8676
"AIZPUTES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS NEPILSONIS",0,211,0,6,217
"AIZPUTES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"AIZPUTES NOVADS","PAREJIE",0,32,0,4,36
"AKNISTES NOVADS","LATVIJAS PILSONIS",0,2501,1,11,2513
"AKNISTES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"AKNISTES NOVADS","LATVIJAS NEPILSONIS",0,194,0,1,195
"AKNISTES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"AKNISTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AKNISTES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"AKNISTES NOVADS","PAREJIE",0,17,0,0,17
"ALOJAS NOVADS","LATVIJAS PILSONIS",1,4850,0,14,4865
"ALOJAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"ALOJAS NOVADS","LATVIJAS NEPILSONIS",0,172,0,1,173
"ALOJAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"ALOJAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"ALOJAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"ALOJAS NOVADS","PAREJIE",0,10,0,0,10
"ALSUNGAS NOVADS","LATVIJAS PILSONIS",0,1400,4,6,1410
"ALSUNGAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"ALSUNGAS NOVADS","LATVIJAS NEPILSONIS",0,16,1,0,17
"ALSUNGAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"ALSUNGAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"ALSUNGAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"ALSUNGAS NOVADS","PAREJIE",0,3,0,0,3
"ALUKSNES NOVADS","LATVIJAS PILSONIS",1,15449,8,142,15600
"ALUKSNES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"ALUKSNES NOVADS","LATVIJAS NEPILSONIS",0,550,0,18,568
"ALUKSNES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"ALUKSNES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"ALUKSNES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"ALUKSNES NOVADS","PAREJIE",2,162,0,10,174
"AMATAS NOVADS","LATVIJAS PILSONIS",0,5221,0,24,5245
"AMATAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"AMATAS NOVADS","LATVIJAS NEPILSONIS",0,187,0,2,189
"AMATAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"AMATAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AMATAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"AMATAS NOVADS","PAREJIE",0,87,0,0,87
"APES NOVADS","LATVIJAS PILSONIS",1,3474,2,19,3496
"APES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"APES NOVADS","LATVIJAS NEPILSONIS",0,107,0,0,107
"APES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"APES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"APES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"APES NOVADS","PAREJIE",0,15,0,0,15
"AUCES NOVADS","LATVIJAS PILSONIS",2,6457,0,57,6516
"AUCES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"AUCES NOVADS","LATVIJAS NEPILSONIS",0,602,0,20,622
"AUCES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"AUCES NOVADS","LATVIJAS BEZVALSTNIEKS",0,2,0,0,2
"AUCES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"AUCES NOVADS","PAREJIE",0,46,0,5,51
"ADAZU NOVADS","LATVIJAS PILSONIS",2,10364,0,106,10472
"ADAZU NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"ADAZU NOVADS","LATVIJAS NEPILSONIS",0,744,0,27,771
"ADAZU NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"ADAZU NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"ADAZU NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"ADAZU NOVADS","PAREJIE",1,431,0,8,440
"BABITES NOVADS","LATVIJAS PILSONIS",0,9509,0,75,9584
"BABITES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"BABITES NOVADS","LATVIJAS NEPILSONIS",0,725,0,15,740
"BABITES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"BABITES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BABITES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"BABITES NOVADS","PAREJIE",4,826,0,5,835
"BALDONES NOVADS","LATVIJAS PILSONIS",1,5336,0,81,5418
"BALDONES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"BALDONES NOVADS","LATVIJAS NEPILSONIS",0,272,0,12,284
"BALDONES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"BALDONES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BALDONES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"BALDONES NOVADS","PAREJIE",0,49,0,1,50
"BALTINAVAS NOVADS","LATVIJAS PILSONIS",0,1078,0,2,1080
"BALTINAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"BALTINAVAS NOVADS","LATVIJAS NEPILSONIS",0,17,0,0,17
"BALTINAVAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"BALTINAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BALTINAVAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"BALTINAVAS NOVADS","PAREJIE",0,8,0,2,10
"BALVU NOVADS","LATVIJAS PILSONIS",0,12567,6,99,12672
"BALVU NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"BALVU NOVADS","LATVIJAS NEPILSONIS",0,370,0,24,394
"BALVU NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"BALVU NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BALVU NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"BALVU NOVADS","PAREJIE",0,77,0,3,80
"BAUSKAS NOVADS","LATVIJAS PILSONIS",1,22200,1,250,22452
"BAUSKAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"BAUSKAS NOVADS","LATVIJAS NEPILSONIS",0,1776,0,57,1833
"BAUSKAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"BAUSKAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"BAUSKAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"BAUSKAS NOVADS","PAREJIE",1,309,0,1,311
"BEVERINAS NOVADS","LATVIJAS PILSONIS",0,2997,2,20,3019
"BEVERINAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"BEVERINAS NOVADS","LATVIJAS NEPILSONIS",0,149,0,1,150
"BEVERINAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"BEVERINAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BEVERINAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"BEVERINAS NOVADS","PAREJIE",0,18,0,0,18
"BROCENU NOVADS","LATVIJAS PILSONIS",0,5749,0,65,5814
"BROCENU NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"BROCENU NOVADS","LATVIJAS NEPILSONIS",0,344,0,35,379
"BROCENU NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"BROCENU NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BROCENU NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"BROCENU NOVADS","PAREJIE",0,59,0,2,61
"BURTNIEKU NOVADS","LATVIJAS PILSONIS",17,7175,0,71,7263
"BURTNIEKU NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"BURTNIEKU NOVADS","LATVIJAS NEPILSONIS",9,383,0,15,407
"BURTNIEKU NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"BURTNIEKU NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"BURTNIEKU NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"BURTNIEKU NOVADS","PAREJIE",1,40,0,0,41
"CARNIKAVAS NOVADS","LATVIJAS PILSONIS",5,7681,0,74,7760
"CARNIKAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"CARNIKAVAS NOVADS","LATVIJAS NEPILSONIS",0,1026,0,21,1047
"CARNIKAVAS NOVADS","LATVIJAS BEGLIS",1,1,0,0,2
"CARNIKAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"CARNIKAVAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"CARNIKAVAS NOVADS","PAREJIE",0,365,0,33,398
"CESVAINES NOVADS","LATVIJAS PILSONIS",0,2529,7,4,2540
"CESVAINES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"CESVAINES NOVADS","LATVIJAS NEPILSONIS",0,54,0,1,55
"CESVAINES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"CESVAINES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"CESVAINES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"CESVAINES NOVADS","PAREJIE",1,5,0,0,6
"CESU NOVADS","LATVIJAS PILSONIS",1,16980,0,342,17323
"CESU NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"CESU NOVADS","LATVIJAS NEPILSONIS",1,652,0,55,708
"CESU NOVADS","LATVIJAS BEGLIS",0,1,0,0,1
"CESU NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"CESU NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"CESU NOVADS","PAREJIE",2,387,0,2,391
"CIBLAS NOVADS","LATVIJAS PILSONIS",1,2589,0,8,2598
"CIBLAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"CIBLAS NOVADS","LATVIJAS NEPILSONIS",1,123,0,6,130
"CIBLAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"CIBLAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"CIBLAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"CIBLAS NOVADS","PAREJIE",0,37,0,0,37
"DAGDAS NOVADS","LATVIJAS PILSONIS",2,6896,1,39,6938
"DAGDAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"DAGDAS NOVADS","LATVIJAS NEPILSONIS",0,542,1,6,549
"DAGDAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"DAGDAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"DAGDAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"DAGDAS NOVADS","PAREJIE",0,121,0,0,121
"DAUGAVPILS NOVADS","LATVIJAS PILSONIS",1,19494,3,180,19678
"DAUGAVPILS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"DAUGAVPILS NOVADS","LATVIJAS NEPILSONIS",0,2677,0,45,2722
"DAUGAVPILS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"DAUGAVPILS NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"DAUGAVPILS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"DAUGAVPILS NOVADS","PAREJIE",0,832,0,3,835
"DOBELES NOVADS","LATVIJAS PILSONIS",0,18762,1,288,19051
"DOBELES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"DOBELES NOVADS","LATVIJAS NEPILSONIS",0,1916,0,44,1960
"DOBELES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"DOBELES NOVADS","LATVIJAS BEZVALSTNIEKS",0,2,0,0,2
"DOBELES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"DOBELES NOVADS","PAREJIE",0,294,0,17,311
"DUNDAGAS NOVADS","LATVIJAS PILSONIS",2,3973,1,23,3999
"DUNDAGAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"DUNDAGAS NOVADS","LATVIJAS NEPILSONIS",0,56,0,0,56
"DUNDAGAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"DUNDAGAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"DUNDAGAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"DUNDAGAS NOVADS","PAREJIE",0,15,0,1,16
"DURBES NOVADS","LATVIJAS PILSONIS",0,2798,1,24,2823
"DURBES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"DURBES NOVADS","LATVIJAS NEPILSONIS",0,74,0,1,75
"DURBES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"DURBES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"DURBES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"DURBES NOVADS","PAREJIE",0,13,0,0,13
"ENGURES NOVADS","LATVIJAS PILSONIS",2,6991,0,48,7041
"ENGURES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"ENGURES NOVADS","LATVIJAS NEPILSONIS",0,261,0,12,273
"ENGURES NOVADS","LATVIJAS BEGLIS",0,1,0,0,1
"ENGURES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"ENGURES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"ENGURES NOVADS","PAREJIE",0,121,0,5,126
"ERGLU NOVADS","LATVIJAS PILSONIS",0,2900,2,17,2919
"ERGLU NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"ERGLU NOVADS","LATVIJAS NEPILSONIS",0,65,0,6,71
"ERGLU NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"ERGLU NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"ERGLU NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"ERGLU NOVADS","PAREJIE",0,61,0,0,61
"GARKALNES NOVADS","LATVIJAS PILSONIS",2,7543,0,41,7586
"GARKALNES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"GARKALNES NOVADS","LATVIJAS NEPILSONIS",0,674,0,24,698
"GARKALNES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"GARKALNES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"GARKALNES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"GARKALNES NOVADS","PAREJIE",0,580,0,14,594
"GROBINAS NOVADS","LATVIJAS PILSONIS",0,8536,2,116,8654
"GROBINAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"GROBINAS NOVADS","LATVIJAS NEPILSONIS",0,367,0,11,378
"GROBINAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"GROBINAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"GROBINAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"GROBINAS NOVADS","PAREJIE",0,145,0,1,146
"GULBENES NOVADS","LATVIJAS PILSONIS",2,20879,3,191,21075
"GULBENES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"GULBENES NOVADS","LATVIJAS NEPILSONIS",0,704,0,23,727
"GULBENES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"GULBENES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"GULBENES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"GULBENES NOVADS","PAREJIE",0,154,0,0,154
"IECAVAS NOVADS","LATVIJAS PILSONIS",0,7870,0,108,7978
"IECAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"IECAVAS NOVADS","LATVIJAS NEPILSONIS",0,847,0,29,876
"IECAVAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"IECAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"IECAVAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"IECAVAS NOVADS","PAREJIE",2,203,0,3,208
"IKSKILES NOVADS","LATVIJAS PILSONIS",3,9475,1,78,9557
"IKSKILES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"IKSKILES NOVADS","LATVIJAS NEPILSONIS",0,265,0,16,281
"IKSKILES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"IKSKILES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"IKSKILES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"IKSKILES NOVADS","PAREJIE",0,138,0,11,149
"ILUKSTES NOVADS","LATVIJAS PILSONIS",0,6814,0,43,6857
"ILUKSTES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"ILUKSTES NOVADS","LATVIJAS NEPILSONIS",0,535,0,4,539
"ILUKSTES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"ILUKSTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,2,0,0,2
"ILUKSTES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"ILUKSTES NOVADS","PAREJIE",0,116,0,0,116
"INCUKALNA NOVADS","LATVIJAS PILSONIS",0,6514,2,138,6654
"INCUKALNA NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"INCUKALNA NOVADS","LATVIJAS NEPILSONIS",0,1119,1,53,1173
"INCUKALNA NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"INCUKALNA NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"INCUKALNA NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"INCUKALNA NOVADS","PAREJIE",2,276,0,6,284
"JAUNJELGAVAS NOVADS","LATVIJAS PILSONIS",1,5301,1,40,5343
"JAUNJELGAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"JAUNJELGAVAS NOVADS","LATVIJAS NEPILSONIS",0,322,1,43,366
"JAUNJELGAVAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"JAUNJELGAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"JAUNJELGAVAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"JAUNJELGAVAS NOVADS","PAREJIE",0,35,0,0,35
"JAUNPIEBALGAS NOVADS","LATVIJAS PILSONIS",0,2224,2,18,2244
"JAUNPIEBALGAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"JAUNPIEBALGAS NOVADS","LATVIJAS NEPILSONIS",0,37,0,1,38
"JAUNPIEBALGAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"JAUNPIEBALGAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"JAUNPIEBALGAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"JAUNPIEBALGAS NOVADS","PAREJIE",0,11,0,0,11
"JAUNPILS NOVADS","LATVIJAS PILSONIS",0,2333,0,8,2341
"JAUNPILS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"JAUNPILS NOVADS","LATVIJAS NEPILSONIS",0,64,0,1,65
"JAUNPILS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"JAUNPILS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"JAUNPILS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"JAUNPILS NOVADS","PAREJIE",0,12,0,0,12
"JELGAVAS NOVADS","LATVIJAS PILSONIS",2,20466,1,328,20797
"JELGAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"JELGAVAS NOVADS","LATVIJAS NEPILSONIS",0,2731,2,87,2820
"JELGAVAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"JELGAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"JELGAVAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"JELGAVAS NOVADS","PAREJIE",0,310,0,10,320
"JEKABPILS NOVADS","LATVIJAS PILSONIS",0,4563,3,35,4601
"JEKABPILS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"JEKABPILS NOVADS","LATVIJAS NEPILSONIS",0,121,0,4,125
"JEKABPILS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
