"Krajums","Pamatforma","Pamatkrasa","Vardforma","Locijums","Piemers"
"DzL","ruds","orange","rudā","FDSN","Viņš nomirs, jo liesmā {\bf rudā}\textbackslash{} Jauns sprādziens ar zemi to sakausēs\\"
"DzL","dzeltens","yellow","dzeltena","FISN","Vai tev ir viena {\bf dzeltena} lapu kaudze\textbackslash{} Priekš diviem blandoņām\\"
"DzL","dzeltens","yellow","dzeltenas","FISG","Bet ne velti pats gadsimts\textbackslash{} Kliedz pēc māla un koka\textbackslash{} Un pēc vienas {\bf dzeltenas}\textbackslash{} Bērzu ataudzes\\"
"DzL","dzeltens","yellow","dzeltenas","FIPA","Šķir vēsture vecas {\bf dzeltenas} lapas\textbackslash{} Un ierauga\textbackslash{} Kardinālu\\"
"DzL","dzeltenīgs","yellow","dzeltenīgs","MISN","Bet tagad līst lietus.\textbackslash{} Līst {\bf dzeltenīgs} lieplapu lietus.\textbackslash{} Par ko tu domā\textbackslash{} Šai pelēkā, pelēkā lietū\\"
"DzL","dzeltens","yellow","dzeltenu","MIPG","{\bf Dzeltenu} kļavziedu pilni mati,\textbackslash{} Un bites pinas kā trakas,\textbackslash{} Un pirmie negaisi danco apkārt\textbackslash{} Kā līgavai\\"
"DzL","zeltaini","yellow","zeltaini","adv","Kad uzspīdēs saule,\textbackslash{} Asaras nožūs\textbackslash{} No bērzu {\bf zeltaini} smalkām\textbackslash{} Un apšu sarkanām notīm\\"
"DzL","sārts","pink","sārta","FISN","Kur tikko redzami pulsē\textbackslash{} Zila bērnība tava,\textbackslash{} {\bf Sārta} jaunība tava\textbackslash{} Un zils vakars tavs\\"
"DzL","rozā","pink","rozā","FISN","Tā nav nemaz tik briesmīga krāsa.\textbackslash{} Briesmīga ir tā {\bf rozā}\textbackslash{} Uz taukiem purniem\\"
"DzL","brūns","brown","brūns","MISN","Gan kaut kas sarkans, notraipīts ar brūnu,\textbackslash{} Gan {\bf brūns} ar sarkanu. Un viena kāja\\"
"DzL","brūns","brown","brūnu","MISA","Tos ķeizarkroņus,\textbackslash{} Kurus es ostīju kādreiz\textbackslash{} Un nosmērēju sev degunu {\bf brūnu}\textbackslash{} Ar putekšņiem\\"
"DzL","brūns","brown","brūnu","MISA","Gan kaut kas sarkans, notraipīts ar {\bf brūnu},\textbackslash{} Gan brūns ar sarkanu. Un viena kāja\\"
"DzL","brūns","brown","brūnu","MISA","Mirguļo kupenas,\textbackslash{} Un upēs ir daudz ūdens.\textbackslash{} Lieli ku\v{g}i var peldēt\textbackslash{} Pa tādu dziļu un {\bf brūnu} ūdeni\\"
"DzL","brūni","brown","brūni","adv","Džimlairūdi, puto {\bf brūni}\textbackslash{} Sveša alus stops,\textbackslash{} Spārdās svešas zemes šķūnī\textbackslash{} Svešas zemes lops\\"
"DzL","pelēks","lightgray","pelēkas","FIPN","Es redzēju, kā krita dzērves,\textbackslash{} Kā sniga līdz pašam tālākam mežam\textbackslash{} {\bf Pelēkas} pārslas\\"
"DzL","pelēks","lightgray","pelēku","FIPG","Ap manu bērnību apkārt ir apkritis\textbackslash{} {\bf Pelēku} lapu pelēks laprkitis\\"
"DzL","pelēks","lightgray","pelēkās","FDSG","Atbalss, bet paskaties apkārt,\textbackslash{} Vai tu redzi {\bf pelēkās} ikdienas pīķus,\textbackslash{} Ikdienas rūpju trulos asmeņus\\"
"DzL","pelēks","lightgray","pelēkās","FDPN","Pār visiem, kas krita,\textbackslash{} Dzērvju {\bf pelēkās} spalvas krita\\"
"DzL","pelēks","lightgray","pelēks","MISN","Ap manu bērnību apkārt ir apkritis\textbackslash{} Pelēku lapu {\bf pelēks} laprkitis\\"
"DzL","pelēks","lightgray","pelēks","MISN","Katrā solī, ko tālāk tu liec,\textbackslash{} {\bf Pelēks}, silts, samīts zaķītis kliedz.\textbackslash{} Tā jau nav kāda varena balss\\"
"DzL","pelēks","lightgray","pelēks","MISN","Bet tikai, uz darbu ejot,\textbackslash{} Vēss, {\bf pelēks} vējš,\textbackslash{} Spuldžu zvaigznes\textbackslash{} Un kvartālu dzirkstošie mākoņi\textbackslash{} Man palīdzēja\\"
"DzL","pelēks","lightgray","pelēkā","MISL","Ko tu domā šai {\bf pelēkā}, {\bf pelēkā} lietū,\textbackslash{} Mana dzimtā un bezgala tālā puse\\"
"DzL","pelēks","lightgray","pelēkā","MISL","Manai dzimtajai pusei\textbackslash{} {\bf Pelēkā} lietū ir auksti\\"
"DzL","pelēks","lightgray","pelēkā","MISL","Bet tagad līst lietus.\textbackslash{} Līst dzeltenīgs lieplapu lietus.\textbackslash{} Par ko tu domā\textbackslash{} Šai {\bf pelēkā}, {\bf pelēkā} lietū\\"
"DzL","pelēks","lightgray","pelēki","MIPN","Pār krūmu, kurš mani slēpa,\textbackslash{} Krita {\bf pelēki} sniegi,\textbackslash{} Pār vāgūzi krita,\textbackslash{} Pār kaķa raibajiem sāniem\\"
"DzL","pelēks","lightgray","pelēko","MDSA","Mašīnu jūklis.\textbackslash{} Reklāmas uguns.\textbackslash{} Taksometru pietura.\textbackslash{} Tas ar {\bf pelēko}, tas ar zaļgano mēteli\\"
"DzL","pelēks","lightgray","pelēko","MDSA","Es pats redzēju,\textbackslash{} Kā tu baroji\textbackslash{} Tur to {\bf pelēko} kaķi,\textbackslash{} Kas pieder visiem\\"
"DzL","raibs","multicolored","raibā","FISL","Es ķeros koku zaros\textbackslash{} Un {\bf raibā} šlipsē karos,\textbackslash{} Un izveļos no gultas,\textbackslash{} Un tūlīt mostos ar\\"
"DzL","raibs","multicolored","raibajā","FDSL","Lai blakus karājošies\textbackslash{} Ar mīlīgu smaidu\textbackslash{} Neietriec dunci tā {\bf raibajā} mugurā\\"
"DzL","raibs","multicolored","raibajiem","MDPD","Pār vāgūzi krita,\textbackslash{} Pār kaķa {\bf raibajiem} sāniem,\textbackslash{} Pār visiem, kas krita\\[10px]"
