"Krajums","Pamatforma","Pamatkrasa","Vardforma","Locijums","Piemers"
"TNZV","zaļš","green","zaļi","MIPN","Daudz karstas sirdis\textbackslash{} Pukstēt rims,\textbackslash{} Daudz {\bf zaļi} stāvi\textbackslash{} Vēl lauzti ļims\\"
"TNZV","jaunzaļš","green","jaunzaļi","MIPN","Ilgi ilgotas veldzošas vēsmas,\textbackslash{} Lai {\bf jaunzaļi} asni dīgst\\"
"TNZV","zaļošs","green","zaļoši","MIPN","{\bf Zaļoši} tīrumi,\textbackslash{}Puķotas pļavas:\textbackslash{} Zib baltas kājiņas,\textbackslash{} Sīk-žigli tekot\\"
"TNZV","zaļš","green","zaļais","MDSN","Man sirds ir pilna mīlas\textbackslash{} Kā maija {\bf zaļais} ārs,\textbackslash{} Kā smaršas puteklīšu\textbackslash{} Pilns ziedošs ābeļdārzs\\"
"TNZV","zaļi","green","zaļi","adv","Ko jūs vēl skumstat,\textbackslash{} Jūs jaunās dvēsles,\textbackslash{} Tik {\bf zaļi} sārtas?\\"
"TNZV","zaļot","green","zaļos","verb","No dusmas mostas viss pasauls ārs,\textbackslash{} Drīz {\bf zaļos} zeme viens vienīgs dārzs\\"
"TNZV","zils","blue","zila","FISN","Dies saulīte atkal trīskrāsaina:\textbackslash{} Drīz {\bf zila}, drīz zaļa, drīz sarkana\\"
"TNZV","zils","blue","zilu","FISA","Un mīļā dzimtene guļ manā priekšā\textbackslash{} Kā plaši izplatīta balta sega,\textbackslash{} Ar {\bf zilu} jūras lentu apšūta\\"
"TNZV","tēraudzils","blue","tēraudzilas","FIPN","Pilī dzintarsienas,\textbackslash{} Zaļa vara grīda,\textbackslash{} Gliemežgriesti, sijas {\bf tēraudzilas}\\"
"TNZV","zilgans","blue","zilganu","FIPG","Met {\bf zilganu} dzirksteļu mirgas\textbackslash{} Iz spēka pilnās sirds\\"
"TNZV","zils","blue","zilās","FDPN","Pret mīksto miesu šļākstot sper kā lode,\textbackslash{} Visapkārt sprakstot {\bf zilās} pupas plīst\\"
"TNZV","zils","blue","zils","MISN","Pus-pelēks un pus-tumši {\bf zils}\textbackslash{} Spīd ūdens pretī debess jumam\\"
"TNZV","zil-augsts","blue","zil-augstu","MIPG","{\bf Zil-augstu} kalnāju\textbackslash{} Sniegotā gultā\textbackslash{} Guldīju galvu,\textbackslash{} Lūkoju tālē\\"
"TNZV","zils","blue","ziliem","MIPD","Bez gala upe sniecas\textbackslash{} Uz {\bf ziliem} kalnājiem.\textbackslash{} Tur debess pret zemi liecas\textbackslash{} Aiz mūžu tālumiem\\"
"TNZV","zils","blue","ziliem","MIPI","Aiz tīreļiem, purviem un siliem,\textbackslash{} Guļ mana dzimtene diendusā\textbackslash{} Tā aizsegta debešiem {\bf ziliem}\\"
"TNZV","zil-saulains","blue","zil-saulainiem","MIPI","{\bf Zil-saulainiem} debešu palagiem\textbackslash{} Pret dvesmām un strāvām, un negaisiem\\"
"TNZV","zils","blue","zilos","MIPL","Cieti ieaudzis stāv viņš savā zemē,\textbackslash{} Lidot nejauzdams augstos, {\bf zilos} gaisos\\"
"TNZV","zili","blue","zili","adv","Tu, tāles plīvurs,\textbackslash{} {\bf Zili} blāvs,\textbackslash{} Jel paveries\textbackslash{} Šo brīd', šo brīd'\\"
"TNZV","zeltīts","yellow","zeltītas","FIPN","Lūk, {\bf zeltītas} lapas\textbackslash{} Trīs kalna bērzu\textbackslash{} Galotņu zaros\\"
"TNZV","sarkan-zeltains","yellow","sarkan-zeltainā","FDSN","Kur iespiesties nespēj\textbackslash{} {\bf Sarkan-zeltainā}, karstā,\textbackslash{} Septiņkrāsainā pasauls saule\\"
"TNZV","zelts","yellow","zelta","noun","Sēd tā {\bf zelta} krēslā,\textbackslash{} Acis drūmi kvēlo,\textbackslash{} Sēd un vērpj; tai melnais suns pie kājām\\"
"TNZV","zelts","yellow","zelta","noun","Pāri upei mēness meta\textbackslash{} Tiltu {\bf zelta} stariem:\textbackslash{} Pārnākt sapņu gariem\textbackslash{} Miglai līdz iz tumšiem mežiem\\"
"TNZV","zelts","yellow","zelta","noun","Viz bāli zaļgans zaigums debess tālē,\textbackslash{} No saules rieta {\bf zelta} migla plūst\\"
"TNZV","zelts","yellow","zelta","noun","Manu pilno {\bf zelta} matu\textbackslash{} Un ziedošo vaigu tām trūkst\\"
"TNZV","zelts","yellow","zelta","noun","Tie vijas ap tevi un viļņo\textbackslash{} Kā kūpošs {\bf zelta} tvaiks\\"
"TNZV","zelts","yellow","zelta","noun","Tie klust un klīst, un saplok,\textbackslash{} Viss {\bf zelta} mirdzums tumst\\"
"TNZV","zelts","yellow","zelta","noun","Tā tērpta sarkani ar {\bf zelta} audiem,\textbackslash{} Smags zīda mētels tai pār pleciem čaukst\\"
"TNZV","zelts","yellow","zelta","noun","Bez žēluma, bez pagātnes, bez vainas\textbackslash{} Tu skati priekšā {\bf zelta} rīta ainas\\"
"TNZV","zelts","yellow","zelts","noun","Tev birzē ritēs rasas {\bf zelts},\textbackslash{} Man vecais slogs būs plecos velts\\"
"TNZV","zelts","yellow","zelts","noun","Aiz segas uguns, kurš tik verdošs dedzis,\textbackslash{} Kā matu {\bf zelts} līst šķiesnām iziris\\"
"TNZV","purpurkvēls","purple","purpurkvēls","noun","Ir lepni nesalauzts, ap viņa vājām\textbackslash{} Un kuslām miesām skrandains {\bf purpurkvēls}?\\"
"TNZV","sārts","pink","sārta","FISN","Tālos mežos saule slīka:\textbackslash{} Rasa klāja zemes vaigu,\textbackslash{} {\bf Sārta} blāzma vaigā tvīka\\"
"TNZV","sārts","pink","sārta","FISN","Tīmekļa {\bf sārta}\textbackslash{} Ir mīlas dvēsele,\textbackslash{} Irst, tikko skārta\\"
"TNZV","sārts","pink","sārtas","FIPN","Ko jūs vēl skumstat,\textbackslash{} Jūs jaunās dvēsles,\textbackslash{} Tik zaļi {\bf sārtas}?\\"
"TNZV","sārts","pink","sārtos","MIPL","Viņš savu dvēseli jums pretim nesa\textbackslash{} Kā rīta sauli {\bf sārtos} mākoņos\\"
