"Reģions","Dzimums","Valoda","Visi vecumi","0–4","5–9","10–14","15–19","20–24","25–29","30–34","35–39","40–44","45–49","50–54","55–59","60–64","65–69","70–74","75–79","80–84","85–89","90+"
"Liepāja","vīrieši","Latviešu",16754,1254,1112,1030,1345,1343,1396,1176,1251,1102,1040,901,786,673,793,643,478,326,86,19
"Liepāja","vīrieši","Krievu",13102,595,675,557,673,1001,892,835,962,949,1103,1113,959,860,460,728,398,253,70,19
"Liepāja","vīrieši","Baltkrievu",5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"Liepāja","vīrieši","Ukraiņu",37,1,0,3,3,2,0,2,2,0,5,5,4,1,6,1,1,1,0,0
"Liepāja","vīrieši","Poļu",8,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0
"Liepāja","vīrieši","Lietuviešu",132,3,2,3,2,8,7,3,8,9,12,14,7,8,6,19,12,6,1,2
"Liepāja","vīrieši","Cita valoda",85,9,5,5,8,9,6,5,10,6,4,10,0,4,1,3,0,0,0,0
"Liepāja","vīrieši","Nav norādīts",4199,270,267,204,218,339,422,395,373,363,379,309,220,151,110,75,51,41,11,1
"Liepāja","sievietes","Visas",42409,2074,2040,1674,2234,2719,2706,2433,2722,2705,2896,2928,2752,2692,2467,2963,1952,1528,721,203
"Liepāja","sievietes","Latviešu",21652,1252,1129,914,1355,1476,1370,1286,1448,1400,1279,1235,1145,1162,1459,1382,1062,804,373,121
"Liepāja","sievietes","Krievu",15978,548,629,547,637,883,866,784,956,967,1248,1350,1362,1297,814,1393,760,600,280,57
"Liepāja","sievietes","Baltkrievu",5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
"Liepāja","sievietes","Ukraiņu",41,1,2,3,1,0,1,2,2,2,3,8,6,2,1,5,1,0,1,0
"Liepāja","sievietes","Poļu",13,0,1,0,0,0,1,1,1,1,0,0,0,2,1,1,2,1,0,1
"Liepāja","sievietes","Lietuviešu",184,2,1,5,3,7,6,5,5,12,15,13,7,14,23,19,22,17,5,3
"Liepāja","sievietes","Cita valoda",68,7,2,5,6,6,10,3,2,7,8,2,4,1,1,1,0,2,1,0
"Liepāja","sievietes","Nav norādīts",4468,264,276,200,231,347,452,352,308,316,343,319,228,214,168,159,105,104,61,21
"Rēzekne","abi","Visas",32328,1642,1516,1422,1746,2259,2263,2095,2278,2265,2481,2648,2195,1898,1476,1577,1209,851,402,105
"Rēzekne","abi","Latviešu",11284,665,562,550,788,865,767,676,739,765,842,812,622,474,554,556,486,356,174,31
"Rēzekne","abi","Krievu",18355,832,813,748,849,1156,1210,1173,1332,1286,1425,1599,1432,1298,845,952,671,461,206,67
"Rēzekne","abi","Baltkrievu",7,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
"Rēzekne","abi","Ukraiņu",4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"Rēzekne","abi","Poļu",46,2,2,2,2,5,2,1,2,2,3,5,2,0,3,7,3,2,0,1
"Rēzekne","abi","Lietuviešu",6,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
"Rēzekne","abi","Cita valoda",35,4,1,2,3,4,5,3,3,4,3,2,1,0,0,0,0,0,0,0
"Rēzekne","abi","Nav norādīts",2591,137,137,119,104,229,276,240,202,207,207,230,137,125,72,62,48,32,21,6
"Rēzekne","vīrieši","Visas",14465,861,783,749,879,1163,1152,1012,1089,1050,1147,1181,959,754,554,488,372,188,72,12
"Rēzekne","vīrieši","Latviešu",4968,354,287,288,402,447,383,318,324,351,383,365,266,168,184,167,166,78,33,4
"Rēzekne","vīrieši","Krievu",8230,429,432,404,424,601,622,581,648,595,655,712,622,535,336,297,191,105,33,8
"Rēzekne","vīrieši","Baltkrievu",4,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Rēzekne","vīrieši","Ukraiņu",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rēzekne","vīrieši","Poļu",19,0,1,2,1,5,1,1,1,0,2,2,0,0,0,3,0,0,0,0
"Rēzekne","vīrieši","Lietuviešu",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rēzekne","vīrieši","Cita valoda",17,2,0,1,1,4,1,1,2,2,1,2,0,0,0,0,0,0,0,0
"Rēzekne","vīrieši","Nav norādīts",1224,75,62,53,51,106,144,110,114,101,106,100,71,51,33,21,15,5,6,0
"Rēzekne","sievietes","Visas",17863,781,733,673,867,1096,1111,1083,1189,1215,1334,1467,1236,1144,922,1089,837,663,330,93
"Rēzekne","sievietes","Latviešu",6316,311,275,262,386,418,384,358,415,414,459,447,356,306,370,389,320,278,141,27
"Rēzekne","sievietes","Krievu",10125,403,381,344,425,555,588,592,684,691,770,887,810,763,509,655,480,356,173,59
"Rēzekne","sievietes","Baltkrievu",3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"Rēzekne","sievietes","Ukraiņu",3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rēzekne","sievietes","Poļu",27,2,1,0,1,0,1,0,1,2,1,3,2,0,3,4,3,2,0,1
"Rēzekne","sievietes","Lietuviešu",4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
"Rēzekne","sievietes","Cita valoda",18,2,1,1,2,0,4,2,1,2,2,0,1,0,0,0,0,0,0,0
"Rēzekne","sievietes","Nav norādīts",1367,62,75,66,53,123,132,130,88,106,101,130,66,74,39,41,33,27,15,6
"Valmiera","abi","Visas",25130,1353,1227,1090,1605,2005,1797,1568,1682,1749,1773,1764,1541,1452,1372,1280,861,617,298,96
"Valmiera","abi","Latviešu",20238,1145,1009,917,1385,1665,1434,1220,1335,1412,1394,1361,1140,1068,1179,1032,716,494,257,75
"Valmiera","abi","Krievu",3040,94,104,89,113,168,163,192,202,198,235,272,285,304,140,211,120,100,33,17
"Valmiera","abi","Baltkrievu",5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
"Valmiera","abi","Ukraiņu",6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"Valmiera","abi","Poļu",6,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0
"Valmiera","abi","Lietuviešu",6,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
"Valmiera","abi","Cita valoda",102,6,7,10,11,6,10,7,8,10,5,2,6,2,6,1,3,1,1,0
"Valmiera","abi","Nav norādīts",1727,108,107,74,96,166,189,148,136,128,136,126,106,76,47,35,18,21,7,3
"Valmiera","vīrieši","Visas",11194,717,631,555,812,976,881,794,798,800,776,737,690,566,510,440,258,164,67,22
"Valmiera","vīrieši","Latviešu",8951,608,513,459,701,817,702,613,615,634,589,569,499,409,436,362,212,133,62,18
"Valmiera","vīrieši","Krievu",1351,46,59,51,56,84,91,103,105,94,113,111,137,118,52,66,34,23,4,4
"Valmiera","vīrieši","Baltkrievu",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Valmiera","vīrieši","Ukraiņu",3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"Valmiera","vīrieši","Poļu",3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Valmiera","vīrieši","Lietuviešu",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Valmiera","vīrieši","Cita valoda",42,4,3,6,3,1,2,2,5,5,3,1,2,0,2,1,2,0,0,0
"Valmiera","vīrieši","Nav norādīts",841,59,56,39,52,74,85,76,72,67,70,55,50,38,20,11,8,8,1,0
"Valmiera","sievietes","Visas",13936,636,596,535,793,1029,916,774,884,949,997,1027,851,886,862,840,603,453,231,74
"Valmiera","sievietes","Latviešu",11287,537,496,458,684,848,732,607,720,778,805,792,641,659,743,670,504,361,195,57
"Valmiera","sievietes","Krievu",1689,48,45,38,57,84,72,89,97,104,122,161,148,186,88,145,86,77,29,13
"Valmiera","sievietes","Baltkrievu",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"Valmiera","sievietes","Ukraiņu",3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"Valmiera","sievietes","Poļu",3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"Valmiera","sievietes","Lietuviešu",5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
"Valmiera","sievietes","Cita valoda",60,2,4,4,8,5,8,5,3,5,2,1,4,2,4,0,1,1,1,0
"Valmiera","sievietes","Nav norādīts",886,49,51,35,44,92,104,72,64,61,66,71,56,38,27,24,10,13,6,3
"Ventspils","abi","Visas",38750,1969,1810,1791,2187,2616,2609,2407,2781,2743,2714,2887,2647,2469,2063,2313,1279,990,382,93
"Ventspils","abi","Latviešu",18955,1098,945,935,1241,1339,1289,1162,1319,1293,1161,1176,1112,1010,1172,1153,717,551,223,59
"Ventspils","abi","Krievu",14057,535,526,572,643,854,819,815,998,982,1115,1277,1200,1133,684,940,461,349,130,24
"Ventspils","abi","Baltkrievu",13,0,0,0,0,1,0,0,3,0,2,0,0,3,0,2,0,1,1,0
"Ventspils","abi","Ukraiņu",66,0,1,0,1,2,3,3,2,0,8,11,11,8,5,5,3,1,1,1
"Ventspils","abi","Poļu",8,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,1,1,0,0
"Ventspils","abi","Lietuviešu",25,1,1,3,0,0,1,1,2,4,0,1,2,4,1,4,0,0,0,0
"Ventspils","abi","Cita valoda",547,56,73,42,45,44,37,35,36,43,25,23,25,28,17,13,3,2,0,0
"Ventspils","abi","Nav norādīts",5079,279,264,239,257,376,460,389,421,420,403,399,297,282,184,194,94,85,27,9
"Ventspils","vīrieši","Visas",17448,982,913,885,1099,1355,1313,1177,1308,1348,1275,1343,1092,996,800,834,384,261,65,18
"Ventspils","vīrieši","Latviešu",8337,554,472,462,625,667,641,542,599,605,522,552,440,386,436,412,219,153,37,13
"Ventspils","vīrieši","Krievu",6356,270,266,285,326,469,425,409,477,500,528,572,492,465,278,344,135,85,27,3
"Ventspils","vīrieši","Baltkrievu",6,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0
"Ventspils","vīrieši","Ukraiņu",31,0,0,0,1,1,1,2,1,0,3,7,5,3,3,3,0,1,0,0
"Ventspils","vīrieši","Poļu",3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"Ventspils","vīrieši","Lietuviešu",13,1,0,0,0,0,0,1,2,2,0,1,1,1,1,3,0,0,0,0
"Ventspils","vīrieši","Cita valoda",237,29,30,21,27,18,16,18,14,14,9,9,9,10,8,4,1,0,0,0
"Ventspils","vīrieši","Nav norādīts",2465,128,145,117,120,199,230,203,212,226,212,202,145,131,74,68,29,21,1,2
"Ventspils","sievietes","Visas",21302,987,897,906,1088,1261,1296,1230,1473,1395,1439,1544,1555,1473,1263,1479,895,729,317,75
"Ventspils","sievietes","Latviešu",10618,544,473,473,616,672,648,620,720,688,639,624,672,624,736,741,498,398,186,46
"Ventspils","sievietes","Krievu",7701,265,260,287,317,385,394,406,521,482,587,705,708,668,406,596,326,264,103,21
"Ventspils","sievietes","Baltkrievu",7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,1,0
"Ventspils","sievietes","Ukraiņu",35,0,1,0,0,1,2,1,1,0,5,4,6,5,2,2,3,0,1,1
"Ventspils","sievietes","Poļu",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0
"Ventspils","sievietes","Lietuviešu",12,0,1,3,0,0,1,0,0,2,0,0,1,3,0,1,0,0,0,0
"Ventspils","sievietes","Cita valoda",310,27,43,21,18,26,21,17,22,29,16,14,16,18,9,9,2,2,0,0
"Ventspils","sievietes","Nav norādīts",2614,151,119,122,137,177,230,186,209,194,191,197,152,151,110,126,65,64,26,7
