Location,Category,Pointing,Declaring,Registering,RegistrationNotValid,Total
ROPAŽU NOVADS,Preschool.Females,9,220,0,2,231
ROPAŽU NOVADS,School.All,11,696,1,5,713
ROPAŽU NOVADS,School.Males,7,364,0,1,372
ROPAŽU NOVADS,School.Females,4,332,1,4,341
ROPAŽU NOVADS,Children.All,30,1162,1,8,1201
RUCAVAS NOVADS,Preschool.All,1,102,1,0,104
RUCAVAS NOVADS,Preschool.Males,0,45,1,0,46
RUCAVAS NOVADS,Preschool.Females,1,57,0,0,58
RUCAVAS NOVADS,School.All,0,160,0,0,160
RUCAVAS NOVADS,School.Males,0,88,0,0,88
RUCAVAS NOVADS,School.Females,0,72,0,0,72
RUCAVAS NOVADS,Children.All,1,262,1,0,264
RUGĀJU NOVADS,Preschool.All,3,128,0,0,131
RUGĀJU NOVADS,Preschool.Males,0,65,0,0,65
RUGĀJU NOVADS,Preschool.Females,3,63,0,0,66
RUGĀJU NOVADS,School.All,1,262,0,0,263
RUGĀJU NOVADS,School.Males,0,127,0,0,127
RUGĀJU NOVADS,School.Females,1,135,0,0,136
RUGĀJU NOVADS,Children.All,4,390,0,0,394
RUNDĀLES NOVADS,Preschool.All,22,233,0,0,255
RUNDĀLES NOVADS,Preschool.Males,11,130,0,0,141
RUNDĀLES NOVADS,Preschool.Females,11,103,0,0,114
RUNDĀLES NOVADS,School.All,1,391,0,3,395
RUNDĀLES NOVADS,School.Males,1,206,0,1,208
RUNDĀLES NOVADS,School.Females,0,185,0,2,187
RUNDĀLES NOVADS,Children.All,23,624,0,3,650
RŪJIENAS NOVADS,Preschool.All,4,296,0,0,300
RŪJIENAS NOVADS,Preschool.Males,2,154,0,0,156
RŪJIENAS NOVADS,Preschool.Females,2,142,0,0,144
RŪJIENAS NOVADS,School.All,9,543,0,1,553
RŪJIENAS NOVADS,School.Males,7,262,0,0,269
RŪJIENAS NOVADS,School.Females,2,281,0,1,284
RŪJIENAS NOVADS,Children.All,13,839,0,1,853
SALACGRĪVAS NOVADS,Preschool.All,5,417,1,0,423
SALACGRĪVAS NOVADS,Preschool.Males,1,226,1,0,228
SALACGRĪVAS NOVADS,Preschool.Females,4,191,0,0,195
SALACGRĪVAS NOVADS,School.All,2,819,0,4,825
SALACGRĪVAS NOVADS,School.Males,1,414,0,2,417
SALACGRĪVAS NOVADS,School.Females,1,405,0,2,408
SALACGRĪVAS NOVADS,Children.All,7,1236,1,4,1248
SALAS NOVADS,Preschool.All,2,276,2,0,280
SALAS NOVADS,Preschool.Males,2,147,0,0,149
SALAS NOVADS,Preschool.Females,0,129,2,0,131
SALAS NOVADS,School.All,4,425,2,0,431
SALAS NOVADS,School.Males,1,237,1,0,239
SALAS NOVADS,School.Females,3,188,1,0,192
SALAS NOVADS,Children.All,6,701,4,0,711
SALASPILS NOVADS,Preschool.All,19,1903,1,8,1931
SALASPILS NOVADS,Preschool.Males,8,1002,1,2,1013
SALASPILS NOVADS,Preschool.Females,11,901,0,6,918
SALASPILS NOVADS,School.All,11,2464,0,24,2499
SALASPILS NOVADS,School.Males,2,1265,0,9,1276
SALASPILS NOVADS,School.Females,9,1199,0,15,1223
SALASPILS NOVADS,Children.All,30,4367,1,32,4430
SALDUS NOVADS,Preschool.All,28,1721,1,6,1756
SALDUS NOVADS,Preschool.Males,12,865,0,3,880
SALDUS NOVADS,Preschool.Females,16,856,1,3,876
SALDUS NOVADS,School.All,11,3039,0,34,3084
SALDUS NOVADS,School.Males,8,1537,0,16,1561
SALDUS NOVADS,School.Females,3,1502,0,18,1523
SALDUS NOVADS,Children.All,39,4760,1,40,4840
SAULKRASTU NOVADS,Preschool.All,8,403,1,2,414
SAULKRASTU NOVADS,Preschool.Males,3,202,0,2,207
SAULKRASTU NOVADS,Preschool.Females,5,201,1,0,207
SAULKRASTU NOVADS,School.All,23,589,0,1,613
SAULKRASTU NOVADS,School.Males,13,294,0,1,308
SAULKRASTU NOVADS,School.Females,10,295,0,0,305
SAULKRASTU NOVADS,Children.All,31,992,1,3,1027
SĒJAS NOVADS,Preschool.All,9,149,0,0,158
SĒJAS NOVADS,Preschool.Males,5,67,0,0,72
SĒJAS NOVADS,Preschool.Females,4,82,0,0,86
SĒJAS NOVADS,School.All,0,270,1,0,271
SĒJAS NOVADS,School.Males,0,133,0,0,133
SĒJAS NOVADS,School.Females,0,137,1,0,138
SĒJAS NOVADS,Children.All,9,419,1,0,429
SIGULDAS NOVADS,Preschool.All,5,1683,0,1,1689
SIGULDAS NOVADS,Preschool.Males,4,854,0,1,859
SIGULDAS NOVADS,Preschool.Females,1,829,0,0,830
SIGULDAS NOVADS,School.All,6,1969,0,17,1992
SIGULDAS NOVADS,School.Males,3,974,0,9,986
SIGULDAS NOVADS,School.Females,3,995,0,8,1006
SIGULDAS NOVADS,Children.All,11,3652,0,18,3681
SKRĪVERU NOVADS,Preschool.All,5,238,0,2,245
SKRĪVERU NOVADS,Preschool.Males,2,131,0,0,133
SKRĪVERU NOVADS,Preschool.Females,3,107,0,2,112
SKRĪVERU NOVADS,School.All,0,357,0,5,362
SKRĪVERU NOVADS,School.Males,0,162,0,1,163
SKRĪVERU NOVADS,School.Females,0,195,0,4,199
SKRĪVERU NOVADS,Children.All,5,595,0,7,607
SKRUNDAS NOVADS,Preschool.All,21,273,1,2,297
SKRUNDAS NOVADS,Preschool.Males,12,144,1,1,158
SKRUNDAS NOVADS,Preschool.Females,9,129,0,1,139
SKRUNDAS NOVADS,School.All,5,635,0,1,641
SKRUNDAS NOVADS,School.Males,4,314,0,1,319
SKRUNDAS NOVADS,School.Females,1,321,0,0,322
SKRUNDAS NOVADS,Children.All,26,908,1,3,938
SMILTENES NOVADS,Preschool.All,22,915,0,1,938
SMILTENES NOVADS,Preschool.Males,9,474,0,1,484
SMILTENES NOVADS,Preschool.Females,13,441,0,0,454
SMILTENES NOVADS,School.All,3,1474,0,4,1481
SMILTENES NOVADS,School.Males,2,762,0,2,766
SMILTENES NOVADS,School.Females,1,712,0,2,715
SMILTENES NOVADS,Children.All,25,2389,0,5,2419
STOPIŅU NOVADS,Preschool.All,19,965,0,1,985
STOPIŅU NOVADS,Preschool.Males,16,485,0,1,502
STOPIŅU NOVADS,Preschool.Females,3,480,0,0,483
STOPIŅU NOVADS,School.All,4,1278,1,8,1291
STOPIŅU NOVADS,School.Males,2,674,1,4,681
STOPIŅU NOVADS,School.Females,2,604,0,4,610
STOPIŅU NOVADS,Children.All,23,2243,1,9,2276
STRENČU NOVADS,Preschool.All,6,166,0,0,172
STRENČU NOVADS,Preschool.Males,2,76,0,0,78
STRENČU NOVADS,Preschool.Females,4,90,0,0,94
STRENČU NOVADS,School.All,1,361,0,5,367
STRENČU NOVADS,School.Males,1,195,0,2,198
STRENČU NOVADS,School.Females,0,166,0,3,169
STRENČU NOVADS,Children.All,7,527,0,5,539
TALSU NOVADS,Preschool.All,41,2046,0,11,2098
TALSU NOVADS,Preschool.Males,19,1062,0,7,1088
TALSU NOVADS,Preschool.Females,22,984,0,4,1010
TALSU NOVADS,School.All,9,3464,0,56,3529
TALSU NOVADS,School.Males,4,1804,0,31,1839
TALSU NOVADS,School.Females,5,1660,0,25,1690
TALSU NOVADS,Children.All,50,5510,0,67,5627
TĒRVETES NOVADS,Preschool.All,3,216,0,0,219
TĒRVETES NOVADS,Preschool.Males,3,115,0,0,118
TĒRVETES NOVADS,Preschool.Females,0,101,0,0,101
TĒRVETES NOVADS,School.All,1,369,0,1,371
TĒRVETES NOVADS,School.Males,0,192,0,1,193
TĒRVETES NOVADS,School.Females,1,177,0,0,178
TĒRVETES NOVADS,Children.All,4,585,0,1,590
