"Darbinieks","Slodze","Alga"
24520,0,0
24548,0,0
24552,0,0
24567,0,0
24568,0,0
24619,0,0
24947,0,0
25032,0,0
25069,0,0
25070,0,0
25086,0,0
25135,0,0
25136,0,0
25161,0,0
25178,0,0
25179,0,0
25187,0,0
25238,0,0
25317,0,0
25470,0,0
25508,0,0
25515,0,0
25526,0,0
25557,0,0
25033,0.044,18.62
111,0.048,19.29
13769,0.048,19.29
17206,0.048,19.29
21192,0.048,19.29
561,0.048,20
3313,0.048,20
8139,0.048,20
11876,0.048,20
22520,0.048,20
23228,0.048,20
19629,0.048,20.38
22562,0.051,21.4
21570,0.048,22.14
3040,0.048,22.38
4321,0.048,22.38
5505,0.048,22.38
20230,0.048,22.38
18126,0.048,22.71
21806,0.051,23.17
3263,0.048,23.83
3483,0.048,23.91
9000,0.057,24.08
6100,0.054,24.59
18664,0.048,25.95
1132,0.055,26.01
23217,0.056,27.6
18960,0.067,28
19686,0.067,28.14
14371,0.071,28.93
5731,0.057,29.55
262,0.067,30.33
1564,0.059,30.47
18856,0.059,30.71
12009,0.052,31.29
2793,0.052,31.87
18553,0.071,32
1315,0,34.2
9734,0,34.2
24659,0.073,37.47
6133,0.091,37.58
491,0.095,38.57
963,0.095,38.57
7460,0.095,38.57
8346,0.095,38.57
8822,0.095,38.57
10580,0.095,38.57
10909,0.095,38.57
14077,0.095,38.57
15687,0.095,38.57
16768,0.095,38.57
17819,0.095,38.57
20556,0.095,38.57
24147,0.095,38.57
24439,0.095,38.57
12888,0.096,38.58
3837,0.095,39.33
7226,0.095,39.33
14536,0.095,39.33
18154,0.095,39.33
5635,0.074,39.42
2348,0.095,40
5216,0.095,40
5872,0.095,40
6622,0.095,40
7559,0.095,40
9208,0.095,40
12403,0.095,40
15250,0.095,40
17260,0.095,40
18412,0.095,40
18911,0.095,40
19093,0.095,40
20289,0.095,40
21037,0.095,40
21927,0.095,40
23158,0.095,40
2564,0.096,40.16
23077,0.095,40.29
20514,0.095,40.38
16049,0.1,40.5
19153,0.095,40.76
23252,0.1,41.3
17661,0.095,41.43
2245,0.1,42
3668,0.095,42
10954,0.1,42
13955,0.096,42
24870,0.1,42
21594,0.095,42.19
3793,0.095,42.57
13353,0.095,42.86
20635,0.095,42.93
23293,0.1,43
4249,0.095,43.03
8529,0.095,43.03
12161,0.095,43.03
12056,0.095,43.08
1881,0.095,43.33
944,0.1,43.5
17476,0.095,43.81
18175,0.095,43.81
19746,0.095,43.81
20917,0.095,43.81
6205,0.095,44.19
11856,0.095,44.29
25384,0.095,44.29
1279,0.095,44.65
12036,0.095,44.72
1304,0.095,44.76
5085,0.095,44.76
10547,0.095,44.76
12876,0.095,44.76
12985,0.095,44.76
17994,0.095,44.76
18922,0.095,44.76
21578,0.095,44.76
23246,0.095,44.76
63,0.1,45
14047,0.096,45.12
21681,0.095,45.13
25277,0.095,45.13
4170,0.1,45.19
10210,0.1,45.19
17672,0.095,45.24
4062,0.048,45.34
7275,0.104,45.84
21086,0.095,45.89
10559,0.113,45.9
6074,0.104,45.93
13217,0.095,46.09
5584,0.095,46.1
13440,0.1,46.1
14004,0.095,46.19
4604,0.095,46.36
6680,0.095,46.51
15350,0.095,46.51
19805,0.095,46.6
25073,0.095,46.67
12875,0.104,46.76
16357,0,46.97
24414,0.095,47.2
4432,0.095,47.57
15210,0.095,47.57
12564,0.095,47.62
17992,0.095,47.62
23838,0.095,47.62
22494,0.095,47.79
22704,0.095,47.79
25296,0.1,48
1934,0.095,48.1
10083,0.107,48.17
17925,0.116,48.8
5631,0.105,49.19
20239,0.095,49.43
6633,0.095,50.23
12870,0.12,50.4
8496,0.095,50.48
15529,0.095,50.93
7113,0.095,51.43
8195,0.095,51.71
7782,0.095,52.19
942,0.113,52.47
1330,0.113,52.7
16267,0.095,52.81
12255,0.1,53
17698,0.114,53.03
9896,0.116,53.07
803,0.117,53.18
725,0.113,53.27
24170,0.064,53.31
25471,0.113,53.87
20913,0.1,54
13368,0.104,54.38
21523,0.113,54.4
3631,0.1,54.6
21457,0.13,54.6
9048,0.113,54.97
16927,0.1,55.19
23233,0.118,55.3
5104,0.095,55.41
21647,0.1,56.19
3347,0.134,56.28
1795,0.104,56.31
25475,0.095,56.62
24158,0.113,56.67
9406,0.095,57.14
5314,0.15,57.3
8189,0.13,57.83
5667,0.143,57.86
7488,0.143,57.86
12055,0.143,57.86
13846,0.143,57.86
13951,0.143,57.86
14278,0.143,57.86
14959,0.143,57.86
16741,0.143,57.86
22175,0.143,57.86
23742,0.143,57.86
24847,0.143,57.86
325,0.095,58.45
15457,0.132,58.51
9939,0.128,58.54
3611,0.095,58.57
12442,0.143,59
6667,0.1,59.5
1565,0.143,60
4287,0.143,60
7185,0.143,60
7339,0.143,60
8567,0.143,60
8820,0,60
9922,0.143,60
12343,0.143,60
12656,0.143,60
13273,0.143,60
14500,0.143,60
19557,0.143,60
19619,0.143,60
19750,0.143,60
20283,0.143,60
21484,0.143,60
22260,0.095,60.05
9856,0.143,60.43
8285,0.143,61
103,0.118,61.31
8673,0.113,61.41
7176,0.143,61.43
4158,0.1,61.47
7718,0.143,61.71
14188,0.139,61.84
14817,0.147,61.92
21784,0.143,62
22436,0.095,62.08
12816,0.143,62.14
12838,0.143,62.14
12186,0.111,62.17
813,0.154,62.27
24450,0.113,62.33
3325,0.143,62.38
15610,0.154,62.45
