Ogres Valsts gimnazija,*,L
Ogresgala pamatskola,*,L
Olaines 1. vidusskola,*,L
Olaines 2. vidusskola,*,K
Ozolaines pamatskola,*,L
Ozolnieku vidusskola,*,L
Palsmanes pamatskola,*,L
Pamatskola "Ridze",*,L
Pamatskola "Ridze" ,*,L
Pamatskola "Universum",*,L
Penkules pamatskola,*,L
Plavinu novada gimnazija,*,L
Preilu 1.pamatskola,*,L
Preilu novada Salas pamatskola,*,L
Preilu Valsts gimnazija,*,L
Priekules vidusskola,*,L
Priekulu pamatskola,*,L
Priekulu vidusskola,*,L
Privata sakumskola "Naminš",*,L
Privata vidusskola "Patnis",*,L
Privata vidusskola Klasika,*,K
Privata vidusskola Laisma,*,L
Puškina  licejs,*,K
Puškina licejs,*,L
Rekavas vidusskola,*,L
Rezeknes 1.vidusskola,*,L
Rezeknes 2.vidusskola,*,K
Rezeknes 3.vidusskola,*,K
Rezeknes 5.vidusskola,*,L
Rezeknes 6.vidusskola,*,K
Rezeknes Katolu vidusskola,*,L
Rezeknes Valsts gimnazija,*,L
Rezeknes valsts polu gimnazija,*,L
Riebinu novada Galenu pamatskola,*,L
Riebinu vidusskola,*,L
Rigas 10.vidusskola,*,K
Rigas 13.vidusskola,*,K
Rigas 19. vidusskola,*,L
Rigas 21.vidusskola,*,K
Rigas 22. vidusskola,*,K
Rigas 25.vidusskola,*,L
Rigas 31. vidusskola,*,L
Rigas 34. vidusskola,*,K
Rigas 40. vidusskola,*,K
Rigas 41.vidusskola,*,L
Rigas 45. vidusskola,*,L
Rigas 46.vidusskola,*,K
Rigas 49. vidusskola,*,L
Rigas 51. vidusskola,*,K
Rigas 51.vidusskola,*,K
Rigas 6.vidusskola,*,L
Rigas 61. vidusskola,*,K
Rigas 63. vidusskola,*,K
Rigas 64.vidusskola,*,L
Rigas 65. vidusskola,*,K
Rigas 7.pamatskola,*,L
Rigas 72. vidusskola,*,K
Rigas 80. vidusskola,*,K
Rigas 84. vidusskola,*,L
Rigas 86.vidusskola,*,L
Rigas 88.vidusskola,*,K
Rigas 89. vidusskola,*,K
Rigas 92. vidusskola,*,K
Rigas 94. vidusskola,*,L
Rigas 95. vidusskola,*,K
Rigas Anglu gimnazija,*,L
Rigas Anninmuižas vidusskola,*,K
Rigas Centra dailamatniecibas pamatskola,*,L
Rigas Centra humanitara vidusskola,*,L
Rigas Daugavgrivas vidusskola,*,K
Rigas Doma kora skola,*,L
Rigas Francu licejs,*,L
Rigas Hanzas vidusskola,*,L
Rigas Herdera vidusskola,*,K
Rigas Igaunu pamatskola,*,L
Rigas Itas Kozakevicas Polu vidusskola,*,L
Rigas Jana Poruka vidusskola,*,L
Rigas Juglas vidusskola,*,L
Rigas Katolu gimnazija,*,L
Rigas Kengaraga vidusskola,*,K
Rigas Klasiska gimnazija,*,K
Rigas Kristiga vidusskola,*,L
Rigas Kulturu vidusskola,*,L
Rigas Lietuviešu vidusskola,*,L
Rigas Muzikas internatvidusskola,*,L
Rigas Natalijas Draudzinas vidusskola,*,L
Rigas Ostvalda vidusskola,*,K
Rigas Plavnieku pamatskola,*,L
Rigas Purvciema vidusskola,*,K
Rigas Rinužu vidusskola,*,K
Rigas Sergeja Žoltoka vidusskola,*,K
Rigas Starptautiska skola,*,L
Rigas Teikas vidusskola,*,L
Rigas vakara gimnazija,*,L
Rigas Valda Zališa sakumskola,*,L
Rigas Valsts 1. gimnazija,*,L
Rigas Valsts 2. gimnazija,*,L
Rigas Valsts 3. gimnazija,*,L
Rigas Valsts 3.gimnazija,*,L
Rigas Valsts vacu gimnazija,*,L
Rigas visparizglitojoša privata vidusskola "Evrika",*,K
Rigas Ziepniekkalna sakumskola,*,L
Rigas Zolitudes gimnazija,*,K
Rubenes pamatskola,*,L
Rudzatu vidusskola,*,L
Sakumskola "Taurenitis",*,L
Sakumskola Taurenitis,*,L
Salas vidusskola (Salas nov.),*,L
Salaspils 1.vidusskola,*,L
Salaspils 2. vidusskola,*,K
Saldus 1.vidusskola,*,L
Siguldas 1. pamatskola,*,L
Siguldas pilsetas vidusskola,*,L
Siguldas Valsts gimnazija,*,L
Sikšnu pamatskola,*,L
Sikšnu pamatskola (Rucavas nov.),*,L
Škaunes pamatskola,*,L
Skrundas vidusskola,*,L
Slokas pamatskola,*,L
Smiltenes Centra vidusskola,*,L
Smiltenes gimnazija,*,L
Smiltenes Tris pakalnu sakumskola,*,L
Špogu vidusskola,*,L
Stalbes vidusskola,*,L
Stalgenes vidusskola,*,L
Straupes pamatskola,*,L
Strencu novada vidusskola,*,L
Sunakstes pamatskola,*,L
Svetes pamatskola,*,L
Talsu 2. vidusskola,*,L
Talsu Kristiga vidusskola,*,L
Talsu Valsts gimnazija,*,L
Tinužu pamatskola,*,L
Tukuma 2. pamatskola,*,L
Tukuma 2.vidusskola,*,L
Tukuma E. Birznieka - Upiša 1.pamatskola,*,L
Tukuma Raina gimnazija,*,L
Ulbrokas vidusskola,*,L
Uzvaras vidusskola,*,L
Vainodes vidusskola,*,L
Valkas gimnazija,*,L
Valmieras 5.vidusskola,*,L
Valmieras Pargaujas gimnazija,*,L
Valmieras Pargaujas sakumskola,*,L
Valmieras sakumskola,*,L
Valmieras Valsts gimnazija,*,L
Valmieras Viestura vidusskola,*,L
Varinu pamatskola,*,L
Vecpiebalgas vidusskola,*,L
Vecumnieku vidusskola,*,L
Ventspil 3.vidusskola,*,K
Ventspils 1.gimnazija,*,L
Ventspils 2.vidusskola,*,K
Ventspils 4. vidusskola,*,L
Ventspils 5. vidusskola,*,L
Ventspils Centra sakumskola,*,L
Viesites vidusskola,*,L
Vilanu vidusskola,*,L
Zalenieku komerciala un amatniecibas vidusskola,*,L
Ziemelvalstu gimnazija,*,L
Zirnu pamatskola,*,L
Zvejniekciema vidusskola,*,L
