 T.SK. SIEVIETES,6,353,1,1,361
 7-18(NEIESKAITOT) GADU VECUMĀ,10,1343,0,15,1368
 T.SK. VĪRIEŠI,4,686,0,6,696
 T.SK. SIEVIETES,6,657,0,9,672
Kopā,18,2049,1,17,2085
MADONAS NOVADS,130,1403,0,9,1542
 T.SK. VĪRIEŠI,73,707,0,6,786
 T.SK. SIEVIETES,57,696,0,3,756
 7-18(NEIESKAITOT) GADU VECUMĀ,41,2528,0,23,2592
 T.SK. VĪRIEŠI,19,1316,0,13,1348
 T.SK. SIEVIETES,22,1212,0,10,1244
Kopā,171,3931,0,32,4134
MAZSALACAS NOVADS,5,187,0,0,192
 T.SK. VĪRIEŠI,4,87,0,0,91
 T.SK. SIEVIETES,1,100,0,0,101
 7-18(NEIESKAITOT) GADU VECUMĀ,4,327,4,3,338
 T.SK. VĪRIEŠI,3,170,0,3,176
 T.SK. SIEVIETES,1,157,4,0,162
Kopā,9,514,4,3,530
MĀLPILS NOVADS,1,245,0,0,246
 T.SK. VĪRIEŠI,0,128,0,0,128
 T.SK. SIEVIETES,1,117,0,0,118
 7-18(NEIESKAITOT) GADU VECUMĀ,1,429,0,0,430
 T.SK. VĪRIEŠI,0,238,0,0,238
 T.SK. SIEVIETES,1,191,0,0,192
Kopā,2,674,0,0,676
MĀRUPES NOVADS,19,2428,2,4,2453
 T.SK. VĪRIEŠI,12,1243,2,2,1259
 T.SK. SIEVIETES,7,1185,0,2,1194
 7-18(NEIESKAITOT) GADU VECUMĀ,2,2381,2,13,2398
 T.SK. VĪRIEŠI,0,1228,2,5,1235
 T.SK. SIEVIETES,2,1153,0,8,1163
Kopā,21,4809,4,17,4851
MĒRSRAGA NOVADS,4,79,0,0,83
 T.SK. VĪRIEŠI,3,39,0,0,42
 T.SK. SIEVIETES,1,40,0,0,41
 7-18(NEIESKAITOT) GADU VECUMĀ,5,171,0,1,177
 T.SK. VĪRIEŠI,1,88,0,1,90
 T.SK. SIEVIETES,4,83,0,0,87
Kopā,9,250,0,1,260
NAUKŠĒNU NOVADS,4,111,0,0,115
 T.SK. VĪRIEŠI,1,57,0,0,58
 T.SK. SIEVIETES,3,54,0,0,57
 7-18(NEIESKAITOT) GADU VECUMĀ,0,220,0,2,222
 T.SK. VĪRIEŠI,0,116,0,1,117
 T.SK. SIEVIETES,0,104,0,1,105
Kopā,4,331,0,2,337
NERETAS NOVADS,6,195,0,0,201
 T.SK. VĪRIEŠI,5,97,0,0,102
 T.SK. SIEVIETES,1,98,0,0,99
 7-18(NEIESKAITOT) GADU VECUMĀ,1,343,0,3,347
 T.SK. VĪRIEŠI,0,192,0,2,194
 T.SK. SIEVIETES,1,151,0,1,153
Kopā,7,538,0,3,548
NĪCAS NOVADS,0,186,0,0,186
 T.SK. VĪRIEŠI,0,104,0,0,104
 T.SK. SIEVIETES,0,82,0,0,82
 7-18(NEIESKAITOT) GADU VECUMĀ,0,349,0,3,352
 T.SK. VĪRIEŠI,0,177,0,2,179
 T.SK. SIEVIETES,0,172,0,1,173
Kopā,0,535,0,3,538
OGRES NOVADS,47,2646,0,10,2703
 T.SK. VĪRIEŠI,25,1326,0,4,1355
 T.SK. SIEVIETES,22,1320,0,6,1348
 7-18(NEIESKAITOT) GADU VECUMĀ,22,3833,0,56,3911
 T.SK. VĪRIEŠI,10,1922,0,42,1974
 T.SK. SIEVIETES,12,1911,0,14,1937
 Kopā,69,6479,0,66,6614
OLAINES NOVADS,15,1448,1,6,1470
 T.SK. VĪRIEŠI,8,708,0,3,719
 T.SK. SIEVIETES,7,740,1,3,751
 7-18(NEIESKAITOT) GADU VECUMĀ,2,2117,0,38,2157
 T.SK. VĪRIEŠI,1,1062,0,18,1081
 T.SK. SIEVIETES,1,1055,0,20,1076
Kopā,17,3565,1,44,3627
OZOLNIEKU NOVADS,21,985,0,2,1008
 T.SK. VĪRIEŠI,11,485,0,0,496
 T.SK. SIEVIETES,10,500,0,2,512
 7-18(NEIESKAITOT) GADU VECUMĀ,8,1194,0,12,1214
 T.SK. VĪRIEŠI,2,593,0,3,598
 T.SK. SIEVIETES,6,601,0,9,616
Kopā,29,2179,0,14,2222
PĀRGAUJAS NOVADS,18,237,0,0,255
 T.SK. VĪRIEŠI,11,135,0,0,146
 T.SK. SIEVIETES,7,102,0,0,109
 7-18(NEIESKAITOT) GADU VECUMĀ,3,427,0,0,430
 T.SK. VĪRIEŠI,2,214,0,0,216
 T.SK. SIEVIETES,1,213,0,0,214
Kopā,21,664,0,0,685
PĀVILOSTAS NOVADS,4,164,0,0,168
 T.SK. VĪRIEŠI,3,93,0,0,96
 T.SK. SIEVIETES,1,71,0,0,72
 7-18(NEIESKAITOT) GADU VECUMĀ,1,273,0,0,274
 T.SK. VĪRIEŠI,0,129,0,0,129
 T.SK. SIEVIETES,1,144,0,0,145
Kopā,5,437,0,0,442
PĻAVIŅU NOVADS,2,326,1,2,331
 T.SK. VĪRIEŠI,0,163,1,2,166
 T.SK. SIEVIETES,2,163,0,0,165
 7-18(NEIESKAITOT) GADU VECUMĀ,0,582,1,2,585
 T.SK. VĪRIEŠI,0,281,1,1,283
 T.SK. SIEVIETES,0,301,0,1,302
Kopā,2,908,2,4,916
PREIĻU NOVADS,13,641,0,3,657
 T.SK. VĪRIEŠI,6,322,0,3,331
 T.SK. SIEVIETES,7,319,0,0,326
 7-18(NEIESKAITOT) GADU VECUMĀ,0,962,0,10,972
 T.SK. VĪRIEŠI,0,476,0,7,483
 T.SK. SIEVIETES,0,486,0,3,489
Kopā,13,1603,0,13,1629
PRIEKULES NOVADS,7,368,0,3,378
 T.SK. VĪRIEŠI,4,185,0,2,191
 T.SK. SIEVIETES,3,183,0,1,187
 7-18(NEIESKAITOT) GADU VECUMĀ,0,677,0,8,685
 T.SK. VĪRIEŠI,0,338,0,2,340
 T.SK. SIEVIETES,0,339,0,6,345
Kopā,7,1045,0,11,1063
PRIEKUĻU NOVADS,12,484,0,2,498
 T.SK. VĪRIEŠI,7,248,0,2,257
 T.SK. SIEVIETES,5,236,0,0,241
 7-18(NEIESKAITOT) GADU VECUMĀ,4,909,1,8,922
 T.SK. VĪRIEŠI,2,465,1,4,472
 T.SK. SIEVIETES,2,444,0,4,450
Kopā,16,1393,1,10,1420
RAUNAS NOVADS,51,145,0,2,198
 T.SK. VĪRIEŠI,21,69,0,2,92
 T.SK. SIEVIETES,30,76,0,0,106
 7-18(NEIESKAITOT) GADU VECUMĀ,12,354,0,1,367
 T.SK. VĪRIEŠI,5,182,0,1,188
 T.SK. SIEVIETES,7,172,0,0,179
Kopā,63,499,0,3,565
RĒZEKNES NOVADS,27,1691,1,2,1721
 T.SK. VĪRIEŠI,16,834,1,0,851
 T.SK. SIEVIETES,11,857,0,2,870
 7-18(NEIESKAITOT) GADU VECUMĀ,12,3192,2,8,3214
 T.SK. VĪRIEŠI,9,1663,2,3,1677
 T.SK. SIEVIETES,3,1529,0,5,1537
Kopā,39,4883,3,10,4935
RIEBIŅU NOVADS,12,219,0,0,231
 T.SK. VĪRIEŠI,7,115,0,0,122
 T.SK. SIEVIETES,5,104,0,0,109
 7-18(NEIESKAITOT) GADU VECUMĀ,12,563,0,0,575
 T.SK. VĪRIEŠI,6,313,0,0,319
 T.SK. SIEVIETES,6,250,0,0,256
Kopā,24,782,0,0,806
ROJAS NOVADS,8,210,0,1,219
 T.SK. VĪRIEŠI,5,102,0,0,107
 T.SK. SIEVIETES,3,108,0,1,112
 7-18(NEIESKAITOT) GADU VECUMĀ,3,409,0,4,416
 T.SK. VĪRIEŠI,2,193,0,4,199
 T.SK. SIEVIETES,1,216,0,0,217
Kopā,11,619,0,5,635
ROPAŽU NOVADS,19,466,0,3,488
 T.SK. VĪRIEŠI,10,246,0,1,257
 T.SK. SIEVIETES,9,220,0,2,231
 7-18(NEIESKAITOT) GADU VECUMĀ,11,696,1,5,713
 T.SK. VĪRIEŠI,7,364,0,1,372
 T.SK. SIEVIETES,4,332,1,4,341
Kopā,30,1162,1,8,1201
RUCAVAS NOVADS,1,102,1,0,104
