,,"1. ""Latvijas Krievu savienība""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2. Jaunā konservatīvā partija",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3. Rīcības partija",,,,,,,,,,,,,,,,"4. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5. ""PROGRESĪVIE""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6. ""Latvijas centriskā partija""",,,,"7. ""LSDSP/KDS/GKL""",,,,,,,,,,,,,,,,"8. No sirds Latvijai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9. ""Saskaņa"" sociāldemokrātiskā partija",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10. Attīstībai/Par!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11. Latvijas Reģionu Apvienība",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12. ""Latviešu Nacionālisti""",,,,,,,,,,,,,,,,,,,,,,,,"13. Jaunā VIENOTĪBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14. Par Alternatīvu",,"15. Politiskā partija ""KPV LV""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16. Zaļo un Zemnieku savienība",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1. Ludmila Ušakova",,"2. Viktors Guščins",,"3. Sergejs Volkovs",,"4. Valentīna Kudrjavceva",,"5. Deniss Ignatjevs",,"6. Ligita Sipko",,"7. Sergejs Konstantinovs",,"8. Viktors Ivančikovs",,"9. Nikolajs Starikovs",,"10. Olga Odincova",,"11. Jeļena Beskorovainaja",,"12. Jeļena Kuzņecova",,"13. Valentīna Tkača",,"14. Ludmila Martinova",,"15. Andrejs Zujevs",,"16. Tatjana Logačova",,"17. Boriss Dmitrijevs",,"1. Krišjānis Feldmans",,"2. Sandis Riekstiņš",,"3. Haralds Laidiņš",,"4. Inita Nagņibeda",,"5. Renārs Volkovs",,"6. Andis Kursītis",,"7. Māris Freimanis",,"8. Ivars Joelis",,"9. Igors Stepanovs",,"10. Artis Ramutis",,"11. Normunds Pildiņš",,"12. Inese Leoho-Čudare",,"13. Uldis Lejava",,"14. Edgars Andersons",,"15. Aivars Doļņikovs",,"16. Ingrīda Irša-Podkalne",,"17. Ilze Vanaga",,"1. Jeļena Pičoha",,"2. Aivars Leitāns",,"3. Edgars Simsons",,"4. Ēvalds Bobovičs",,"5. Roberts Bramanis",,"6. Raimonds Saukums",,"7. Irina Sirjatova",,"8. Vilis Ivanovskis",,"1. Edvīns Šnore",,"2. Imants Parādnieks",,"3. Inguna Rībena",,"4. Raitis Ābelnieks",,"5. Guntis Libeks",,"6. Gundars Važa",,"7. Guntars Akmentiņš",,"8. Anda Grīnfelde",,"9. Aivars Okmanis",,"10. Normunds Pastars",,"11. Mārtiņš Mediņš",,"12. Kaspars Ševčuks",,"13. Oskars Cīrulis",,"14. Vilnis Švāns",,"15. Jānis Krūmiņš",,"16. Mārcis Elstiņš",,"17. Edgars Gaigalis",,"1. Līga Rasnača",,"2. Ģirts Šolis",,"3. Gundega Rupenheite",,"4. Edgars Niedrītis",,"5. Agnese Deigele",,"6. Dainis Deigelis",,"7. Inga Krauze",,"8. Jānis Vekmans",,"9. Dace Vekmane",,"10. Āris Ādlers",,"11. Elza Rauda",,"12. Jānis Stjadja",,"13. Valters Dakša",,"14. Kaspars Mucenieks",,"15. Māris Dūrējs",,"1. Edvīns Puķe",,"2. Artūrs Ahramejevs",,"1. Valdis Šakars",,"2. Guntis Jankovskis",,"3. Aldis Doļģis",,"4. Natālija Ābola",,"5. Raimonds Lejnieks-Puķe",,"6. Viktorija Stipina",,"7. Uldis Šteinbergs",,"8. Edgars Štelfs",,"1. Iveta Čivčiša",,"2. Sanda Skorrano",,"3. Uldis Sokolovs",,"4. Juris Piebalgs",,"5. Haralds Lučkovskis",,"6. Gints Meļķerts",,"7. Inta Valeiņa",,"8. Maija Salmiņa",,"9. Andis Ozoliņš",,"10. Linda Ostrovska",,"11. Aldis Vidužs",,"12. Zane Plotko",,"13. Sandis Bārdiņš",,"14. Sarmīte Miļūna",,"15. Aigars Brokāns",,"16. Ziedonis Priedols",,"1. Ivars Zariņš",,"2. Vitālijs Orlovs",,"3. Zenta Tretjaka",,"4. Nikolajs Sokols",,"5. Aivars Meija",,"6. Alla Beļinska",,"7. Andrejs Marudins",,"8. Andris Arcimovičs",,"9. Nataļja Hohlova",,"10. Jaroslavs Gaveiko",,"11. Sergejs Pašukovs",,"12. Sergejs Stoļarovs",,"13. Sanita Collenkopfa",,"14. Irina Dolgova",,"1. Ilze Viņķele",,"2. Aigars Bikše",,"3. Andulis Židkovs",,"4. Artūrs Toms Plešs",,"5. Ilmārs Dūrītis",,"6. Kristīne Kazāka",,"7. Sanita Kalniņa",,"8. Darja Smirnova",,"9. Lilija Apine",,"10. Miks Celmiņš",,"11. Armands Vītols",,"12. Artūrs Luņevs",,"13. Endijs Lisovskis",,"14. Kaspars Bernāns",,"15. Artūrs Kļaviņš",,"16. Egīls Zeps",,"17. Gundars Bēms",,"1. Inga Bite",,"2. Rihards Melgailis",,"3. Mārtiņš Svilis",,"4. Gunda Cīrule",,"5. Viesturs Reinfelds",,"6. Kārlis Rimša",,"7. Aleksandrs Novickis",,"8. Ainārs Arnītis",,"9. Zane Ozola",,"10. Evita Evardsone",,"11. Evija Rubina",,"12. Matīss Kempe",,"13. Modris Kempe",,"14. Artis Rītelis",,"15. Aija Neilande",,"16. Anta Teivāne",,"17. Jānis Bite",,"1. Kārlis Krūmiņš",,"2. Pēteris Daņiļēvičs",,"3. Inese Caunīte",,"4. Roberts Kalējs",,"5. Jānis Locis",,"6. Inta Latišenoka",,"7. Roberts Egle",,"8. Ruta Viesture",,"9. Nadīna Puidīte",,"10. Ruta Lukševica",,"11. Pēteris Liopa",,"12. Airīte Agnija Uzkliņģe",,"1. Jānis Reirs",,"2. Juris Šulcs",,"3. Leonīds Salcevičs",,"4. Atis Lejiņš",,"5. Aigars Rublis",,"6. Valentīns Kukla",,"7. Gita Rūtiņa",,"8. Ansis Saliņš",,"9. Ainārs Sviklis",,"10. Edgars Laimiņš",,"11. Mārtiņš Daģis",,"12. Zane Skujiņa",,"13. Astrīds Freimanis",,"14. Raimonds Graudiņš",,"15. Uldis Ainārs",,"16. Mārtiņš Limanskis",,"17. Karina Ploka",,"1. Artūrs Malta",,"1. Kaspars Ģirģens",,"2. Ralfs Nemiro",,"3. Aivars Geidāns",,"4. Lauris Zīverts",,"5. Sandis Ģirģens",,"6. Iveta Ziemele",,"7. Jānis Vitenbergs",,"8. Dāvis Reinbergs",,"9. Svetlana Iftodija",,"10. Jurģis Miezainis",,"11. Kristīne Maksimova",,"12. Jānis Bergmanis",,"13. Anita Geidāne",,"14. Roberts Vībāns",,"15. Jānis Andersons",,"16. Edgars Staņķis",,"17. Māris Feldmanis",,"1. Augusts Brigmanis",,"2. Uldis Augulis",,"3. Andris Bērziņš",,"4. Juris Vectirāns",,"5. Guntis Kalniņš",,"6. Jānis Zandbergs",,"7. Viktors Valainis",,"8. Agris Zvaigzneskalns",,"9. Viktors Ščerbatihs",,"10. Mārtiņš Ruža",,"11. Jānis Eisaks",,"12. Andris Vaišļa",,"13. Ilona Virza-Zariņa",,"14. Viktors Silkāns",,"15. Baiba Dronka",,"16. Māris Skudra",,"17. Ligita Upīte",
,,"+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-"
"Jelgava","189. JELGAVAS 3. SĀKUMSKOLA",5,2,3,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,3,0,1,2,19,7,9,11,11,11,5,12,3,10,7,8,5,8,3,9,4,11,3,7,2,9,7,7,5,9,1,7,1,10,2,11,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,22,16,20,12,8,5,6,4,5,4,15,7,10,5,6,5,2,6,7,4,2,6,1,5,7,4,2,6,2,5,3,5,1,1,6,0,2,0,2,0,0,1,1,3,1,2,0,2,0,1,2,0,2,1,2,2,0,1,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,9,26,16,34,14,28,5,15,13,12,13,23,14,12,12,15,16,14,14,15,12,34,17,15,14,20,13,15,26,10,5,10,5,7,4,13,1,4,6,9,5,2,9,1,6,4,4,3,6,2,4,2,6,2,6,6,5,4,6,1,8,5,2,2,4,2,3,2,3,2,3,5,3,2,3,2,3,2,3,4,3,2,3,5,1,4,1,2,3,2,4,2,3,2,3,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,19,9,4,9,7,10,16,5,15,5,1,9,3,7,2,5,5,6,2,4,2,4,4,7,4,4,1,5,2,5,1,5,2,7,4,0,42,8,33,11,37,11,30,8,25,6,26,10,21,10,20,9,16,17,20,11,18,14,28,9,22,11,21,9,21,10,19,12,24,10,20,15,14,13,11,8,9,6,4,4,4,3,21,9,5,3,14,14,6,3,4,5,10,4,6,4,7,3,6,3,18,2,7,5
"Jelgava","190. IESTĀDE ""KULTŪRA""",39,1,34,1,21,2,27,2,18,2,19,2,18,1,17,1,19,1,18,1,18,1,19,2,17,2,18,2,18,2,17,2,18,1,124,29,68,44,60,35,31,45,41,37,60,20,53,22,25,35,23,40,37,24,21,29,36,26,23,25,26,24,19,32,22,30,39,21,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,149,41,125,121,117,52,26,41,18,36,19,39,69,40,46,28,14,38,22,36,22,34,10,34,57,33,82,29,29,30,18,35,26,36,12,2,15,3,6,1,11,4,8,3,8,4,3,3,4,3,2,4,8,1,5,3,4,3,6,3,5,2,9,3,0,1,1,0,4,0,2,0,1,0,2,0,2,0,1,0,1,0,1,0,7,1,1,2,7,2,3,2,1,2,1,2,2,2,4,0,3,0,3,2,0,3,3,0,3,2,1,2,1,2,2,2,96,30,109,38,125,34,74,17,38,28,40,22,62,28,39,24,53,25,44,22,41,26,108,30,37,28,56,25,79,93,44,40,28,32,37,28,64,23,22,32,15,27,12,42,16,28,24,23,10,36,8,29,25,19,21,30,14,25,15,24,15,32,68,9,5,39,5,38,3,40,10,39,12,37,2,42,4,39,3,36,4,37,4,37,61,13,62,13,4,33,3,32,2,34,15,32,1,3,0,3,1,3,0,3,0,3,0,3,1,3,5,0,1,3,0,3,0,3,1,3,94,34,23,25,25,42,66,27,63,26,3,31,11,23,11,26,23,22,7,23,8,23,8,20,8,25,9,24,19,23,6,24,9,25,9,1,119,20,115,22,121,25,101,23,68,23,81,19,75,17,67,21,55,33,63,15,59,21,64,17,67,22,52,23,54,23,60,23,77,20,91,104,85,77,58,80,40,71,17,61,24,58,113,63,24,47,34,98,23,57,15,55,34,72,15,55,19,58,18,59,40,55,20,64
"Jelgava","191. JELGAVAS TEHNOLOĢIJU VIDUSSKOLA",41,0,27,2,27,1,25,2,18,2,14,2,16,2,17,2,16,1,14,2,13,2,14,2,12,2,13,1,14,2,14,2,16,1,43,2,24,9,22,5,14,10,20,5,23,2,16,2,12,7,8,11,19,1,11,4,20,4,10,3,13,2,12,5,11,5,17,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,24,55,70,48,29,15,23,14,22,14,17,44,19,17,16,11,21,9,22,8,20,6,19,29,13,37,10,9,17,8,17,9,18,8,1,2,1,1,1,5,0,3,0,1,0,2,1,1,0,2,1,2,0,1,0,1,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,3,0,2,1,1,0,2,0,3,0,3,0,3,0,1,0,4,0,3,0,2,0,1,0,2,2,2,88,10,126,34,157,15,54,14,30,14,34,13,68,22,26,13,37,16,30,15,40,14,140,26,28,15,39,16,41,45,20,9,16,13,19,7,22,8,18,4,15,4,6,10,11,5,13,7,9,9,5,7,7,7,10,6,12,4,10,4,12,6,13,2,1,3,0,3,0,3,3,2,4,8,0,2,0,2,1,3,0,2,1,2,6,3,6,3,1,4,2,2,0,4,3,1,4,4,2,4,4,4,2,5,2,4,1,5,5,2,2,6,1,6,1,6,2,6,1,6,33,9,9,6,7,15,18,7,33,9,2,6,4,4,2,4,8,6,2,6,3,7,4,5,1,6,3,4,6,8,1,7,5,7,5,0,75,7,86,5,83,7,72,14,43,6,67,6,55,6,53,8,40,22,48,9,49,11,57,7,44,13,40,6,47,7,38,9,54,9,42,36,31,32,19,32,23,22,6,22,7,21,58,17,6,18,17,36,6,23,6,18,14,21,5,24,4,22,8,24,10,21,9,19
"Jelgava","192. JELGAVAS 5. VIDUSSKOLA",25,1,18,0,9,0,13,0,7,0,5,0,6,0,4,0,5,0,4,0,4,0,5,0,5,0,5,0,6,0,5,1,5,0,16,1,10,2,6,1,3,2,4,2,4,1,7,0,3,2,4,4,5,0,3,1,1,2,3,0,4,1,2,2,3,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,34,9,19,7,9,5,4,3,2,3,9,3,5,3,5,3,2,4,1,3,1,3,1,2,7,2,1,2,1,4,6,1,5,0,3,0,6,0,3,0,2,1,2,1,3,0,2,1,4,1,3,0,3,0,2,1,3,0,3,0,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,19,78,17,116,17,41,15,23,19,24,17,62,18,18,16,27,16,23,18,27,15,132,19,20,19,33,15,11,18,10,1,5,2,10,1,11,1,8,1,4,1,8,1,6,1,6,1,5,2,4,1,6,1,5,4,4,2,5,1,4,3,5,0,1,1,1,0,1,0,2,0,3,1,1,0,1,0,1,0,1,0,1,0,2,0,0,1,2,0,1,0,1,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,2,0,1,0,14,4,2,4,1,8,8,2,8,4,1,2,1,2,1,2,2,2,1,2,1,3,1,2,1,3,1,2,2,3,1,3,2,3,7,1,26,1,37,2,31,2,17,3,12,2,18,2,16,2,13,5,8,9,14,3,11,3,9,2,14,2,9,3,10,6,11,7,14,6,28,24,19,15,15,18,12,16,4,12,5,11,30,12,4,12,12,27,5,14,4,11,14,10,5,13,5,9,4,9,14,8,5,10
"Jelgava","193. JELGAVAS PILSĒTAS PAŠVALDĪBAS ADMINISTRĀCIJAS SABIEDRĪBAS INTEGRĀCIJAS PĀRVALDE",11,1,7,1,8,1,2,4,1,1,2,1,1,1,1,1,1,1,3,1,2,1,4,1,1,1,1,1,1,1,3,1,1,2,20,4,9,2,16,4,4,6,3,5,9,4,6,4,1,5,2,10,12,8,5,5,8,6,7,5,6,4,3,9,6,4,9,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,34,5,22,26,28,10,5,8,0,9,2,8,11,10,8,6,2,7,3,6,2,7,2,8,6,4,10,3,2,7,2,6,4,5,3,0,2,0,1,0,2,0,1,1,1,0,2,0,1,0,2,0,1,0,1,0,2,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,6,34,6,57,5,17,4,16,4,15,4,27,4,15,3,19,3,14,4,17,3,43,6,15,3,18,3,14,22,9,7,3,5,4,5,7,1,4,5,3,0,3,4,4,0,3,0,1,0,1,5,6,1,2,2,4,2,2,1,3,2,6,2,1,3,2,2,0,2,1,2,1,3,0,3,1,1,2,2,0,3,2,2,2,2,2,4,2,2,5,1,2,3,2,3,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,22,6,4,6,4,6,17,3,16,6,1,8,2,6,2,5,4,6,2,6,1,6,3,6,0,3,2,3,1,4,0,5,4,7,9,0,19,6,28,6,22,7,21,1,10,7,13,7,16,6,10,6,7,10,11,5,7,8,12,6,8,6,9,6,9,5,11,6,12,5,36,24,17,20,16,14,16,14,7,7,3,11,28,8,4,8,8,17,6,8,3,8,10,8,3,8,3,8,5,8,15,7,6,8
"Jelgava","194. JELGAVAS 2. INTERNĀTPAMATSKOLA",8,0,8,0,5,0,7,0,3,0,2,0,2,0,2,0,2,0,2,0,4,0,3,0,2,0,2,0,2,0,4,0,3,0,39,2,20,9,15,10,8,6,7,4,11,2,13,3,9,4,6,9,11,6,5,5,7,5,7,4,6,5,5,4,4,6,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11,28,50,37,17,10,13,6,12,9,12,16,15,13,16,10,14,4,13,5,12,3,11,16,10,27,17,7,11,4,13,7,11,2,0,4,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,7,0,3,0,3,0,2,0,3,0,2,0,2,0,2,0,3,0,2,0,2,0,3,0,2,0,2,0,24,3,22,3,31,1,13,4,7,3,7,5,15,1,9,4,10,5,7,4,7,3,18,8,8,2,11,2,24,19,16,8,9,7,11,4,16,7,10,3,6,3,6,7,9,3,10,2,6,2,4,7,9,2,6,5,5,4,5,4,5,5,0,2,2,2,1,2,1,2,3,1,2,2,1,2,0,1,2,1,0,1,1,1,1,2,1,2,1,2,0,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,3,0,1,2,1,2,1,2,1,2,1,2,20,5,5,7,3,7,10,4,17,8,3,4,2,4,3,4,6,3,2,5,2,5,4,4,4,7,3,5,2,7,0,7,2,5,3,0,23,2,28,4,26,2,22,5,16,2,22,3,14,3,13,2,13,6,14,2,13,3,15,1,13,4,11,4,13,2,12,3,14,3,36,42,22,31,16,31,9,26,9,14,3,17,27,25,3,17,13,27,3,18,4,19,8,15,4,16,5,16,6,19,10,16,4,19
"Jelgava","195. JELGAVAS BĒRNU UN JAUNIEŠU CENTRS ""JUNDA""",18,0,14,2,4,1,4,1,4,1,3,1,4,1,3,1,5,1,3,1,4,1,3,1,2,1,2,1,3,1,2,1,2,1,42,4,23,9,23,6,13,8,15,5,16,7,18,6,12,8,11,13,12,9,9,10,18,7,13,7,12,7,8,10,11,9,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,18,53,68,57,29,13,22,7,21,4,22,20,21,20,15,7,18,6,17,10,17,4,18,16,12,26,18,6,16,5,18,4,16,8,4,8,2,3,2,0,3,3,4,4,4,2,4,2,4,4,5,2,2,5,0,1,3,1,3,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,1,5,2,7,0,4,1,4,1,4,1,5,0,5,0,4,0,3,0,3,0,4,1,3,0,3,1,3,1,54,15,49,25,91,13,32,17,21,18,15,15,43,18,18,17,25,18,18,18,22,15,53,21,15,16,25,17,31,62,15,11,11,8,13,6,16,6,13,4,5,4,4,13,8,3,13,3,4,7,2,5,5,3,5,6,3,4,6,3,5,8,14,0,3,2,4,2,1,2,8,0,5,0,0,7,0,5,2,4,1,5,5,5,5,1,4,2,2,5,3,4,2,3,11,2,3,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,33,14,8,13,12,17,23,9,36,10,2,15,3,11,3,11,8,12,5,7,6,11,6,8,3,13,2,8,8,9,5,10,4,9,4,0,39,6,55,6,48,3,26,13,28,6,20,8,32,6,18,8,10,16,16,7,16,11,21,7,22,8,15,7,17,8,17,10,21,7,31,33,21,25,22,22,10,19,9,10,4,11,39,18,2,12,6,27,6,12,4,11,8,19,4,12,4,9,8,9,9,10,7,15
"Jelgava","196. LLU SPORTA ZĀLE",4,1,2,0,0,0,5,0,1,0,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,29,2,14,11,6,7,7,9,6,8,8,5,11,4,6,8,6,8,6,5,5,9,13,7,5,6,8,7,5,6,8,6,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,24,37,26,9,7,7,5,8,7,8,6,14,12,10,3,10,9,10,7,11,3,12,13,5,20,10,7,9,3,11,5,12,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,4,2,0,0,0,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,2,1,3,0,3,0,2,0,2,0,2,0,4,0,2,0,2,0,2,0,2,0,2,1,2,0,2,0,26,3,25,5,53,6,11,3,12,4,12,3,21,3,10,4,11,3,8,3,7,3,17,7,8,3,8,4,24,41,12,6,6,9,10,4,17,3,6,6,5,6,1,12,7,6,4,8,3,8,4,8,5,6,2,7,4,6,2,8,5,7,16,0,3,2,4,1,2,1,3,1,3,1,0,1,0,1,0,1,0,1,0,1,12,0,12,0,1,1,2,1,0,1,3,1,4,2,2,2,2,2,3,2,3,2,2,2,3,2,6,0,2,2,3,2,2,2,3,2,23,4,2,6,3,10,10,7,17,8,0,6,1,4,1,5,2,3,0,4,0,3,1,4,0,3,1,3,1,3,0,4,0,5,4,0,34,4,35,5,32,6,27,4,23,5,28,4,30,4,22,6,17,8,16,4,18,5,23,6,25,5,17,6,18,6,17,6,25,5,29,38,21,28,23,22,16,15,7,13,8,12,35,11,5,11,11,20,6,12,4,13,8,11,5,10,5,9,4,11,13,11,5,12
