Location,Category,Pointing,Declaring,Registering,RegistrationNotValid,Total
AIZPUTES NOVADS,PAREJIE,3,25,0,0,28
AKNISTES NOVADS,LATVIJAS PILSONIS,2,2796,1,7,2806
AKNISTES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
AKNISTES NOVADS,LATVIJAS NEPILSONIS,1,241,0,1,243
AKNISTES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
AKNISTES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
AKNISTES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
AKNISTES NOVADS,PAREJIE,0,13,0,0,13
ALOJAS NOVADS,LATVIJAS PILSONIS,60,5430,0,21,5511
ALOJAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
ALOJAS NOVADS,LATVIJAS NEPILSONIS,0,227,0,3,230
ALOJAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
ALOJAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
ALOJAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
ALOJAS NOVADS,PAREJIE,0,9,0,0,9
ALSUNGAS NOVADS,LATVIJAS PILSONIS,2,1551,5,12,1570
ALSUNGAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
ALSUNGAS NOVADS,LATVIJAS NEPILSONIS,0,24,1,1,26
ALSUNGAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
ALSUNGAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
ALSUNGAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
ALSUNGAS NOVADS,PAREJIE,0,2,0,0,2
ALUKSNES NOVADS,LATVIJAS PILSONIS,47,17222,6,149,17424
ALUKSNES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
ALUKSNES NOVADS,LATVIJAS NEPILSONIS,0,690,0,26,716
ALUKSNES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
ALUKSNES NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
ALUKSNES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
ALUKSNES NOVADS,PAREJIE,8,148,0,4,160
AMATAS NOVADS,LATVIJAS PILSONIS,32,5746,0,45,5823
AMATAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
AMATAS NOVADS,LATVIJAS NEPILSONIS,0,253,0,3,256
AMATAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
AMATAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
AMATAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
AMATAS NOVADS,PAREJIE,3,87,0,0,90
APES NOVADS,LATVIJAS PILSONIS,4,3864,1,16,3885
APES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
APES NOVADS,LATVIJAS NEPILSONIS,0,128,0,0,128
APES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
APES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
APES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
APES NOVADS,PAREJIE,0,20,0,0,20
AUCES NOVADS,LATVIJAS PILSONIS,21,7169,0,69,7259
AUCES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
AUCES NOVADS,LATVIJAS NEPILSONIS,4,752,0,27,783
AUCES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
AUCES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
AUCES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
AUCES NOVADS,PAREJIE,12,36,0,2,50
ADAZU NOVADS,LATVIJAS PILSONIS,22,8900,0,149,9071
ADAZU NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
ADAZU NOVADS,LATVIJAS NEPILSONIS,14,908,0,54,976
ADAZU NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
ADAZU NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
ADAZU NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
ADAZU NOVADS,PAREJIE,4,227,0,1,232
BABITES NOVADS,LATVIJAS PILSONIS,15,8493,1,104,8613
BABITES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
BABITES NOVADS,LATVIJAS NEPILSONIS,2,806,0,24,832
BABITES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
BABITES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
BABITES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
BABITES NOVADS,PAREJIE,10,422,0,0,432
BALDONES NOVADS,LATVIJAS PILSONIS,17,5230,0,63,5310
BALDONES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
BALDONES NOVADS,LATVIJAS NEPILSONIS,0,303,0,13,316
BALDONES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
BALDONES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
BALDONES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
BALDONES NOVADS,PAREJIE,0,30,0,2,32
BALTINAVAS NOVADS,LATVIJAS PILSONIS,4,1226,0,3,1233
BALTINAVAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
BALTINAVAS NOVADS,LATVIJAS NEPILSONIS,0,25,0,1,26
BALTINAVAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
BALTINAVAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
BALTINAVAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
BALTINAVAS NOVADS,PAREJIE,0,7,0,2,9
BALVU NOVADS,LATVIJAS PILSONIS,34,14088,5,140,14267
BALVU NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
BALVU NOVADS,LATVIJAS NEPILSONIS,2,446,1,39,488
BALVU NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
BALVU NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
BALVU NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
BALVU NOVADS,PAREJIE,2,60,0,4,66
BAUSKAS NOVADS,LATVIJAS PILSONIS,102,23736,1,261,24100
BAUSKAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
BAUSKAS NOVADS,LATVIJAS NEPILSONIS,8,2241,0,103,2352
BAUSKAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
BAUSKAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
BAUSKAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
BAUSKAS NOVADS,PAREJIE,7,171,0,3,181
BEVERINAS NOVADS,LATVIJAS PILSONIS,14,3244,0,28,3286
BEVERINAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
BEVERINAS NOVADS,LATVIJAS NEPILSONIS,2,170,0,1,173
BEVERINAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
BEVERINAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
BEVERINAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
BEVERINAS NOVADS,PAREJIE,1,14,0,0,15
BROCENU NOVADS,LATVIJAS PILSONIS,17,5968,0,78,6063
BROCENU NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
BROCENU NOVADS,LATVIJAS NEPILSONIS,4,454,0,43,501
BROCENU NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
BROCENU NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
BROCENU NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
BROCENU NOVADS,PAREJIE,1,53,0,1,55
BURTNIEKU NOVADS,LATVIJAS PILSONIS,31,7481,0,78,7590
BURTNIEKU NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
BURTNIEKU NOVADS,LATVIJAS NEPILSONIS,21,492,0,25,538
BURTNIEKU NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
BURTNIEKU NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
BURTNIEKU NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,1,1
BURTNIEKU NOVADS,PAREJIE,0,40,0,0,40
CARNIKAVAS NOVADS,LATVIJAS PILSONIS,19,5753,1,91,5864
CARNIKAVAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
CARNIKAVAS NOVADS,LATVIJAS NEPILSONIS,4,809,0,29,842
CARNIKAVAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
CARNIKAVAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,2,0,0,2
CARNIKAVAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
CARNIKAVAS NOVADS,PAREJIE,9,175,0,2,186
CESVAINES NOVADS,LATVIJAS PILSONIS,2,2914,3,5,2924
CESVAINES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
CESVAINES NOVADS,LATVIJAS NEPILSONIS,0,64,0,1,65
CESVAINES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
CESVAINES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
CESVAINES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
CESVAINES NOVADS,PAREJIE,1,7,0,0,8
CESU NOVADS,LATVIJAS PILSONIS,34,17496,0,378,17908
CESU NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
CESU NOVADS,LATVIJAS NEPILSONIS,3,865,0,72,940
CESU NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
CESU NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
CESU NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
CESU NOVADS,PAREJIE,5,192,0,2,199
CIBLAS NOVADS,LATVIJAS PILSONIS,23,2889,0,13,2925
CIBLAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
CIBLAS NOVADS,LATVIJAS NEPILSONIS,2,167,0,11,180
CIBLAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
CIBLAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
CIBLAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
CIBLAS NOVADS,PAREJIE,0,27,0,0,27
DAGDAS NOVADS,LATVIJAS PILSONIS,36,7912,1,51,8000
